h,impulse_response,cumulative_response
0,0.3091931047163029,0.3091931047163029
1,0.4501366734215083,0.7593297781378112
2,0.06989345562399912,0.8292232337618104
3,-0.006823510165947455,0.8223997235958629
4,0.030236133771156415,0.8526358573670193
5,-0.04248408022709438,0.8101517771399249
6,0.006551809092556871,0.8167035862324818
7,-0.05303413397026138,0.7636694522622205
8,0.0024490971330902167,0.7661185493953107
9,-0.054634565314727414,0.7114839840805832
10,0.07580047782345753,0.7872844619040408
11,0.016470140872750325,0.8037546027767911
12,0.012936157741800097,0.8166907605185912
13,0.021249152914728453,0.8379399134333196
14,0.040352413749605576,0.8782923271829253
15,-0.018470473769183343,0.859821853413742
16,-0.038656725736025764,0.8211651276777162
17,0.011338025009864632,0.8325031526875808
18,-0.027495546819898693,0.805007605867682
19,0.03936999572125901,0.844377601588941
20,-0.03024551626439606,0.814132085324545
21,0.01082684452663069,0.8249589298511757
22,-0.0275455982181176,0.797413331633058
23,0.04185660823152011,0.8392699398645782
24,-0.020367668298053917,0.8189022715665243
25,-0.005688054600018628,0.8132142169665056
26,0.002564453911372734,0.8157786708778784
