param,coef,std_err,t_value,p_value
const,-0.19479912487115802,0.3297610588074961,-0.5907281034807553,0.5547026145881542
dom_L1,-0.505118388204268,0.056360011661140755,-8.962354217405855,3.178190128965262e-19
dom_L2,-0.41307415211981147,0.06633489261947251,-6.227102145011299,4.75141364900046e-10
dom_L3,-0.39264851372987614,0.07439863501881337,-5.277630612854471,1.308649242566668e-07
dom_L4,-0.2009549714750476,0.07821960965865916,-2.5691124303993664,0.010195937170064761
dom_L5,-0.26724347989761854,0.06680721280426688,-4.000218968580442,6.328390009726317e-05
dom_L6,-0.24844111093784962,0.053454242818307865,-4.647734171117275,3.3560101211030804e-06
dom_L7,-0.2782115748805174,0.06261984686874116,-4.4428657812543495,8.87685444515978e-06
dom_L8,-0.1717524287181706,0.07045974168527651,-2.4375966276649086,0.014785262098991815
dom_L9,0.14849994794399232,0.06460873596930002,2.29844998073565,0.021536191634697027
dom_L10,-0.15530037140131292,0.05668638340231572,-2.73964155199516,0.006150622296457605
dom_L11,-0.1339378808793393,0.049677560320329966,-2.6961444969455712,0.007014722999258351
dom_L12,-0.2492150841139617,0.045156915392507276,-5.518868637234532,3.4118911446825296e-08
dom_L13,0.1733168068578381,0.03748875552740398,4.623167785101453,3.7792378992159524e-06
intl_L0,0.3091931047163029,0.034845192853273615,8.873336015623602,7.098673728787573e-19
intl_L1,0.6063157961196807,0.04698029087538201,12.905748023739765,4.1773915208514525e-38
intl_L2,0.42498544614628125,0.054563595723581326,7.78880937941212,6.76435670083391e-15
intl_L3,0.3358249972188778,0.06603593571134644,5.085488584379605,3.6668088771131814e-07
intl_L4,0.29454002056765666,0.07033297462502136,4.18779416252462,2.8167880555101047e-05
intl_L5,0.170500736354875,0.059683186751169494,2.856763280180143,0.004279848951217516
intl_L6,0.20606065000568397,0.06116894984089336,3.3687132203784533,0.0007551996000139209
intl_L7,0.1597593106824748,0.052983021954033295,3.0152925369390564,0.002567315066408206
intl_L8,0.16164052295178913,0.05920238762958548,2.7303041215691066,0.006327592319605719
intl_L9,-0.02404209578445035,0.06081346564015057,-0.3953416489485046,0.6925907661492771
intl_L10,0.017144885598352685,0.05494852659587182,0.3120172033810411,0.755027449145736
intl_L11,0.12187050217656523,0.04990927847938205,2.4418405933660408,0.014612597266213249
intl_L12,0.16164871125735747,0.048467757376180476,3.33518033447943,0.0008524409893708539
intl_L13,0.09777949292366703,0.04444811261078757,2.199857028348509,0.027817040344671497
m_2,-0.49410055952737253,0.6170187557956128,-0.800786937003651,0.42325500269648564
m_3,0.05012045664221265,0.4977428877059968,0.10069547527481185,0.9197922033259508
m_4,0.3316086555854447,0.48902027720527536,0.6781081910970449,0.4977030975710478
m_5,0.2629509495133664,0.4045949452792222,0.6499116031513855,0.5157493227296643
m_6,0.08076115364055192,0.46011375635181856,0.1755243187704199,0.8606676637771724
m_7,0.30479414750199124,0.43734433978127396,0.6969202977553702,0.4858526742855711
m_8,-0.3113600374892582,0.47146884730149125,-0.6604042648233598,0.5089944360583503
m_9,0.11420944641474229,0.4556364143356923,0.2506591721411405,0.8020776289704183
m_10,0.3847543756352798,0.3992804862646757,0.9636192823614055,0.33523683587524655
m_11,0.49260674749288813,0.4653506653926069,1.0585710607661554,0.2897951722502399
m_12,0.8669036049232716,0.41989694615991696,2.064562776298718,0.038964388359110626
