year,n_obs,actual_chg_mean,pred_chg_mean,bias_chg,mae_chg,rmse_chg,actual_level_mean,pred_level_mean,bias_level,mae_level,rmse_level,mape_level_pct
2012,245,-0.026376350821359962,-0.024562466744060284,-0.0018138840772996805,0.027503634198108952,0.03719504063166621,1974.9023265306123,1974.9374915952305,-0.03516506461832324,0.542923681156811,0.7333214415087025,0.027504358708623052
2013,365,-0.006200113546071521,-0.004149550800904457,-0.002050562745167065,0.02046645743761702,0.026775678355623302,1924.4703013698631,1924.5097463863194,-0.03944501645640367,0.39498519315182995,0.5179108025197681,0.02046675097873316
2014,365,-0.04657510766216691,-0.044206958138447584,-0.0023681495237193187,0.01846718066718338,0.025675767657439987,1827.2869863013698,1827.3314256445144,-0.04443934314462028,0.33134565220858436,0.4508076565589409,0.018467661803733052
2015,365,-0.033383539544336954,-0.030706187419893356,-0.002677352124443595,0.02972480507251194,0.042974075994308296,1510.400410958904,1510.4408496323067,-0.04043867340272686,0.4471423771344359,0.6444347884470817,0.029726354116811442
2016,366,0.014046547208260471,0.014148940238069802,-0.00010239302980933285,0.027457177330004065,0.03776534100528669,1402.7362021857923,1402.7368400325906,-0.0006378467983038052,0.3838472924652379,0.526852486784195,0.02745603264918696
2017,365,0.01093389715440824,0.009995517663091967,0.0009383794913162734,0.01578958060656823,0.021367923500475,1491.3040547945204,1491.2892308584226,0.014823936098036939,0.23478684780782663,0.3171521035597928,0.01578936390263833
2018,309,0.02927454219604975,0.027059619520909274,0.002214922675140474,0.015382882182630495,0.021373431941786432,1598.0738187702266,1598.0366990302612,0.03711973996525961,0.24676469665686362,0.34367569799074715,0.015382275697603394
2019,107,0.020143191991500876,0.01909219491488499,0.001050997076615885,0.015824681207861013,0.02176423583328241,1540.958785046729,1540.942605989576,0.01617905715320971,0.24367137248009385,0.33467877595792583,0.015824720860294357
2020,366,-0.02547533859029266,-0.027475200034151232,0.0019998614438585735,0.03394984128213064,0.053113816702156195,1381.2610655737706,1381.2280657226984,0.0329998510721112,0.46459157517115846,0.7238958664049019,0.03394829444273382
2021,315,0.07713322459477603,0.07427542466712356,0.00285779992765246,0.020023170463903835,0.031056691743995793,1579.0935555555557,1579.0459364855828,0.04761906997273616,0.31880212475566333,0.5014037480676957,0.020021484207521322
