param,coef,std_err,t_value,p_value
const,-0.004322808661038009,0.003741170843789359,-1.1554694617098855,0.24789823122332322
dom_L1,0.6816429948031036,0.04848293893069083,14.059440492614355,6.741710719878735e-45
dom_L2,-0.015059442700321023,0.03393270385711545,-0.4438032042401821,0.6571848715697175
dom_L3,0.06830469373494498,0.05840873184257039,1.1694260700445829,0.24223201135219286
dom_L4,-0.009073980713140197,0.036599618591693875,-0.24792555393458382,0.804192007851863
dom_L5,-0.05809342069931177,0.02932796154470652,-1.9808202697877992,0.04761143283382666
dom_L6,0.13704226621696622,0.028992836104548367,4.726763043214912,2.2812721494846394e-06
dom_L7,0.3867643151928051,0.05174513733745822,7.474408902821232,7.755164721897411e-14
dom_L8,-0.2397550179060333,0.05485264341564209,-4.370892685869418,1.2373960105092248e-05
dom_L9,-0.0634542710716403,0.03368993453514657,-1.8834786100709837,0.059635535932485884
intl_L1,0.0015554201470062707,0.0003736382147505476,4.162904343295605,3.1422502852945445e-05
intl_L2,0.0019978668938013234,0.00048606449069492005,4.110291807050128,3.9515942521977413e-05
intl_L3,0.001486355557535252,0.0005858864977974842,2.536934309158668,0.011182793587516494
intl_L4,0.0017649098771144397,0.0004112862214610672,4.291196215727124,1.7771319601018522e-05
intl_L5,0.002221186806353017,0.000465280039426923,4.773870826457143,1.807183195618958e-06
intl_L6,0.0022632288801118844,0.0006638527036639526,3.4092335055963687,0.0006514569239558529
intl_L7,0.0041067541440534434,0.0006049760612918944,6.7882919785019045,1.134688356836813e-11
intl_L8,0.0033666156560657632,0.0006816634191640619,4.9388240023123355,7.859510602713001e-07
intl_L9,0.0014899771776642752,0.0005466111220410455,2.7258449701877665,0.006413711518875118
intl_L10,0.0008311444845807009,0.0004906924193956418,1.693819695858303,0.09029955023975325
intl_L11,0.0009923207057901714,0.00044082189622718555,2.2510694552222534,0.02438113866361758
intl_L12,0.0008624058257929249,0.0006456088589734192,1.3358023419384826,0.18161388731415828
intl_L13,0.0009714657776370795,0.0006247927202291057,1.554860910160496,0.1199791988343021
intl_L14,0.00031754165835315456,0.0006749012831214746,0.47050089590065375,0.6379971942992659
wd_1,0.0073209960545834825,0.0026229803423122654,2.7910983305844077,0.005252951124376704
wd_2,-0.0015683766873767885,0.0016670632334732799,-0.9408021578816296,0.34680625486851646
wd_3,0.0007741458521043094,0.0019255304215212302,0.40204290903527223,0.6876524476506505
wd_4,0.002081272639738679,0.0017114998503193802,1.216051897024879,0.22396515309915077
wd_5,0.0021160995265855254,0.0015478625147737105,1.3671107778554146,0.17159058552979212
wd_6,-2.163446194174566e-05,0.0023719674581358244,-0.009120893234660397,0.9927226810083419
m_2,0.005977241684920949,0.004679503888423524,1.277323799154833,0.20148795477614723
m_3,0.006655678466451957,0.004480327686397264,1.4855338565210938,0.13740246169999581
m_4,0.0005136031577794855,0.003788468233013949,0.1355701371081272,0.8921611145861118
m_5,0.0015584250936894054,0.004366988269804533,0.3568649598775223,0.7211929027081461
m_6,0.0037527851635196494,0.004771865274354347,0.7864398820495654,0.43160982624080535
m_7,0.004495044031812306,0.003917405623371893,1.1474543266579613,0.25119389932130454
m_8,0.0023636722591022894,0.004008024071081389,0.5897350457939132,0.5553682956838595
m_9,0.0011368839034356158,0.00376567032799464,0.3019074439373584,0.7627226209576615
m_10,0.0056637798963851405,0.004319335073617206,1.3112619882120042,0.18976926596761523
m_11,0.0016715617255157866,0.003752489811625695,0.4454540343686141,0.655991670677707
m_12,0.005555509292835071,0.004378289987258999,1.2688765040693575,0.20448511358719312
