param,coef,std_err,t_value,p_value
const,0.010972209575234194,0.0031916178669014754,3.4378205765235816,0.0005864161231751778
dom_L1,0.5550513135956641,0.039554331844385726,14.032630250950557,9.843203098235912e-45
dom_L2,0.022355608375052446,0.034856890422820884,0.6413540652615467,0.5212926699446734
dom_L3,0.11006903920565396,0.028691993194259774,3.8362284021339716,0.00012493822196025156
dom_L4,0.06979075499509818,0.029880178476645432,2.3356873537300706,0.019507542075405407
dom_L5,-0.022221614921523282,0.029898527152035916,-0.7432344345433791,0.4573397590198811
dom_L6,0.17437333685586934,0.03650495655619077,4.776703037229005,1.7819262434817579e-06
dom_L7,0.29509776461570875,0.03923966577971322,7.520394446587599,5.461122813585496e-14
dom_L8,-0.19038415080965013,0.04000059952270657,-4.759532434047081,1.9404194331942282e-06
dom_L9,-0.11485535420665387,0.02769220229201359,-4.147570243619738,3.360223910621682e-05
dom_L10,-0.016043568035800978,0.030288364915356924,-0.529694094766618,0.5963240429212285
dom_L11,-0.019799860328419336,0.028714745983428897,-0.689536321855179,0.490485824163327
dom_L12,-0.03666097148152234,0.029564191608596,-1.2400464713150792,0.2149582060871038
dom_L13,-0.0016310216341290282,0.03017116548215051,-0.054058953575855495,0.9568881947016802
dom_L14,0.13149449066406999,0.0314797099371405,4.177118878370912,2.9522475050912544e-05
dom_L15,-0.051535118827459425,0.02893128079550475,-1.7812940668519173,0.07486442325647961
dom_L16,-0.0028051154986010783,0.026602878931619247,-0.10544405760787855,0.9160234579795012
dom_L17,-0.02082663080898734,0.02641910769331579,-0.7883169655369026,0.43051132643486334
dom_L18,-0.033101021693149706,0.02350671959152347,-1.4081514676801583,0.1590862236393783
dom_L19,-0.013197007894379895,0.02621159721169243,-0.503479730281106,0.614627027893154
dom_L20,-0.017082365986671573,0.025050255545702036,-0.6819238213161645,0.49528712172375355
dom_L21,0.05744706464006289,0.026746973726601224,2.1477968022576275,0.031729901172882824
intl_L1,0.003200941485193648,0.000490677536746206,6.5235133982692926,6.867927410549844e-11
intl_L2,0.003368892169691198,0.0006337762016375426,5.315586418339311,1.0631437778610253e-07
intl_L3,0.002911631160126335,0.0005179242616863666,5.621731545546901,1.8905288851478175e-08
intl_L4,0.002625211966228843,0.000572189543186957,4.588011083891972,4.4748888548076024e-06
intl_L5,0.0025696917360571313,0.0006595820211098379,3.8959396311822903,9.781875329668477e-05
intl_L6,0.002153537737781345,0.0006167890648668961,3.491530347163469,0.0004802619041604298
intl_L7,0.0035819406879547366,0.0004954997230552821,7.2289458929830825,4.867572992564262e-13
intl_L8,0.0018493323068935925,0.000667893908021889,2.7689012950736243,0.005624567217772695
intl_L9,0.001153745147510959,0.0006647757170908572,1.7355404504844039,0.08264512319845718
intl_L10,0.0001657202043102193,0.00045876988849860687,0.36122729164410394,0.7179295417935785
intl_L11,0.0018367996810905644,0.0005182287312048253,3.544380252365023,0.0003935372250701801
intl_L12,0.0003961309194583823,0.000782822679546733,0.5060289255898264,0.6128363437961293
intl_L13,0.0005254940164408267,0.0006583267604743407,0.7982267287178108,0.4247389291409063
intl_L14,0.0015681113862415627,0.0007338644897582866,2.136786025384676,0.03261539927708997
intl_L15,0.0007516011804017449,0.0005963390611958026,1.2603587947007941,0.20753995906287792
intl_L16,0.0008669548709130797,0.0006467872689185174,1.3404018795278718,0.1801147250085099
intl_L17,-0.0002005357421865525,0.0005069655184590639,-0.39556091072246213,0.6924289785888645
intl_L18,0.00016572852130374003,0.0005334900549242374,0.31064969210583626,0.7560669460181266
intl_L19,0.0004871671056283616,0.000472785255410138,1.0304194135786815,0.30281316382358003
intl_L20,0.0015249736330947491,0.000513895521668115,2.9674779576686228,0.0030025381044207723
intl_L21,0.0015139229248691496,0.0005300721666295117,2.8560694565336235,0.004289212921469881
intl_L22,0.0012017646262743639,0.0005392891155919966,2.2284236627975416,0.025852276607301987
intl_L23,0.001642937133295026,0.0006991913796405733,2.349767432973209,0.018785144128381653
intl_L24,-1.479453914874504e-05,0.0004477735621002474,-0.03304022479431879,0.973642510392326
intl_L25,0.0012466951351522068,0.00046403210317459703,2.6866570795924534,0.007217100480521881
intl_L26,0.0014710349937843185,0.0004824147956009665,3.049315666099714,0.002293633405827521
intl_L27,-3.1025292750868594e-06,0.00047072188478149607,-0.006591002830741595,0.9947411786761927
intl_L28,-0.0003958914736968809,0.0005538955965451156,-0.7147402437683669,0.47476956553912275
intl_L29,0.0004500175141433862,0.0004890156399154418,0.9202517821744945,0.35744120000169666
intl_L30,0.0005127840031039977,0.00046033874193695867,1.1139275415889744,0.26531027284534003
intl_L31,0.0003233596190783367,0.000444160373009006,0.7280244675762197,0.4665986086803844
intl_L32,0.00046747971821569604,0.0004032787576183207,1.1591974766450202,0.24637569978811014
intl_L33,0.0007736881465581466,0.0005788236670023506,1.3366560330281116,0.18133493974023684
