date,dom_chg,dom_level,prev_dom_level,fitted_chg,fitted_level,err_chg,err_level
2013-01-07,-0.015402123812169322,1752.87,1753.14,-0.011829017486611169,1752.932633027815,-0.003573106325558153,-0.06263302781508173
2013-01-08,-0.015404496431781212,1752.6,1752.87,-0.04544759563346723,1752.073543729241,0.03004309920168602,0.5264562707588993
2013-01-09,-0.03481149042601217,1751.99,1752.6,-0.008810880743583611,1752.4455873067468,-0.02600060968242856,-0.4555873067467928
2013-01-10,-0.03139780184095997,1751.44,1751.99,-0.020168044876698113,1751.636693499269,-0.011229756964261858,-0.19669349926903124
2013-01-11,-0.01655917481988567,1751.15,1751.44,-0.018943366851292155,1751.1082497189484,0.0023841920314064853,0.04175028105169076
2013-01-12,-0.012563962004819018,1750.93,1751.15,-0.01950546955642006,1750.808463280116,0.006941507551601042,0.12153671988403403
2013-01-13,-0.01942013760132255,1750.59,1750.93,-0.03012440779039905,1750.4026221453914,0.0107042701890765,0.187377854608485
2013-01-14,0.0005712343517316754,1750.6,1750.59,0.0006414713104168214,1750.60122956863,-7.023695868514602e-05,-0.0012295686301513342
2013-01-15,-0.015995795425016723,1750.32,1750.6,-0.023234338000924223,1750.193306927007,0.007238542575907499,0.1266930729930209
2013-01-16,-0.0199983430611006,1749.97,1750.32,-0.020266543488428636,1749.9653065792756,0.00026820042732803723,0.0046934207243793935
2013-01-17,-0.0177161586116803,1749.66,1749.97,-0.02102538135361131,1749.6021008113853,0.0033092227419310102,0.05789918861478327
2013-01-18,-0.034298257984755054,1749.06,1749.66,-0.014416318745177055,1749.407781618183,-0.019881939239577998,-0.3477816181830349
2013-01-19,-0.016009880417477973,1748.78,1749.06,-0.02406727507181885,1748.6390995702925,0.008057394654340876,0.14090042970747163
2013-01-20,-0.01715628810758929,1748.48,1748.78,-0.02508351662314369,1748.3413994885136,0.0079272285155544,0.13860051148640196
2013-01-21,-0.010295185865860645,1748.3,1748.48,0.002823430452290828,1748.5293678137018,-0.013118616318151474,-0.229367813701856
2013-01-22,-0.027459011876906914,1747.82,1748.3,-0.02347395207111746,1747.8896530601469,-0.003985059805789455,-0.06965306014694761
2013-01-23,-0.04177503916364955,1747.09,1747.82,-0.026794922425420666,1747.35173572519,-0.014980116738228886,-0.26173572519019217
2013-01-24,-0.01831784907775358,1746.77,1747.09,-0.03250373969894241,1746.5222226935214,0.01418589062118883,0.24777730647861063
2013-01-25,-0.03950928376399432,1746.08,1746.77,-0.019035039351933382,1746.437533286701,-0.020474244412060937,-0.35753328670102746
2013-01-26,-0.016610011292961246,1745.79,1746.08,-0.024494758300154726,1745.6523543018009,0.00788474700719348,0.1376456981990941
2013-01-27,-0.021769019334350048,1745.41,1745.79,-0.02032244193247312,1745.4352488892523,-0.0014465774018769285,-0.025248889252225126
2013-01-28,-0.0005729329295434127,1745.4,1745.41,0.0012185563534305526,1745.4312689340352,-0.0017914892829739653,-0.03126893403509712
2013-01-29,-0.000572936212162034,1745.39,1745.4,-0.018298713503699736,1745.0806434744654,0.017725777291537702,0.3093565255346675
2013-01-30,-0.010313413175921937,1745.21,1745.39,-0.006247192299722679,1745.2809655361518,-0.004066220876199258,-0.07096553615178891
2013-01-31,-0.016045201659586894,1744.93,1745.21,0.0019761904176504447,1745.244489013571,-0.01802139207723734,-0.314489013570892
2013-02-01,-0.015474597333131612,1744.66,1744.93,-0.0061952062925897285,1744.821901335341,-0.009279391040541884,-0.1619013353408718
2013-02-02,0.01318221549100329,1744.89,1744.66,0.005536660138776156,1744.75659856892,0.007645555352227135,0.13340143108007396
2013-02-03,-0.012609039551847445,1744.67,1744.89,0.011922666375191699,1745.0980498156102,-0.024531705927039144,-0.42804981561016575
2013-02-04,0.009743488348501472,1744.84,1744.67,0.025766298772480475,1745.1195948042769,-0.016022810423979003,-0.2795948042769396
2013-02-05,0.08650346123584285,1746.35,1744.84,0.013967732015801683,1745.0837315967963,0.07253572922004117,1.2662684032036395
2013-02-06,0.0440822455878731,1747.12,1746.35,0.055382002009486,1747.3174314588202,-0.011299756421612898,-0.19743145882034696
2013-02-07,0.05664863407979226,1748.11,1747.12,0.03420296075409422,1747.7176689723426,0.022445673325698037,0.392331027657292
2013-02-08,0.1486215626171905,1750.71,1748.11,0.05441462821680726,1749.061486407739,0.09420693440038325,1.648513592260997
