p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass,oos_rmse_chg,oos_mae_chg,oos_rmse_level,oos_mae_level,oos_mape_level_pct,full_lb_pvalue,full_lb_lag,full_stable,full_intl_block_p,full_n_obs,full_lb_pass
14,7,-4237.870323607633,-4042.9284475598593,True,5.092865070175239e-06,0.10595763203011263,19,1095,True,True,0.03865582981051934,0.024144434750082714,0.4783616024281193,0.3038929800902598,0.024143240251947667,4.6470581366956076e-05,19,True,7.618050214067555e-21,2944,False
16,8,-4261.915773674161,-4051.9783686996357,True,4.138045775448552e-09,0.13555929302864778,21,1095,True,True,0.03866988263550123,0.024184904665116455,0.4782535343346557,0.3041938495927722,0.024183910127578173,0.00018312297096150502,21,True,6.966549246142952e-20,2941,False
17,8,-4259.921765121023,-4044.985850504247,True,4.76001022834059e-09,0.1376096978340168,22,1095,True,True,0.038674078149595705,0.024149454687810344,0.4785316140158429,0.3037873674707677,0.024148460256908148,0.00042550751628659067,22,True,9.855426093947473e-20,2940,False
16,9,-4261.190488434336,-4046.25457381756,True,8.579550083840177e-09,0.13612979049046417,21,1095,True,True,0.03867510761752299,0.024205975387361692,0.47838469089421715,0.304492346661941,0.0242049335321928,0.00026975474777077757,21,True,3.145801568489356e-20,2940,False
16,11,-4272.443978772888,-4047.511044871611,True,7.611948587188955e-11,0.2460435283430652,21,1095,True,True,0.03873956122640931,0.024356064929186252,0.479291892586271,0.3064027498828902,0.024354959383447474,0.0004213014322081847,21,True,1.7069125384513004e-20,2938,False
15,8,-4262.92511223014,-4057.9862168978657,True,6.256183954021192e-09,0.20022314333623203,20,1095,True,True,0.03875721806578537,0.02427817174549345,0.4795994984941081,0.30543448076414226,0.02427713254000874,0.007594201923178669,20,True,5.3689373169352744e-20,2942,False
15,9,-4262.182074496057,-4052.2446695215317,True,1.2052352682659294e-08,0.19418195373607516,20,1095,True,True,0.03876546050468619,0.02430377897743338,0.47976947210655035,0.30578645759572665,0.024302692344037154,0.011812052956586439,20,True,2.483930780110742e-20,2941,False
15,10,-4261.67931775639,-4046.7434031396147,True,1.657663391883004e-08,0.17096749977880876,20,1095,True,True,0.038792409976084324,0.02428918724860678,0.4801631036658905,0.3056205991752351,0.024288132565668266,0.007357146277943737,20,True,9.136122860926715e-20,2940,False
15,11,-4273.09538629573,-4053.160962036704,True,1.5170675524220252e-10,0.2762374601189183,20,1095,True,True,0.038833031512577436,0.02446047393499647,0.4807324069975266,0.3077916866997606,0.024459322826056878,0.020172176686011397,20,True,1.0201365068355334e-20,2939,False
14,8,-4264.305664767762,-4064.3652790777383,True,5.378060803463711e-09,0.17182137687599586,19,1095,True,True,0.03884350707227791,0.024354047949713464,0.4802522381750261,0.3062915068576082,0.02435300069996287,0.00011990482617875923,19,True,1.520282307885929e-19,2943,False
14,9,-4263.632164984906,-4058.6932696526314,True,1.1049148834436323e-08,0.16812534329791268,19,1095,True,True,0.03885025337810108,0.024379172424646378,0.480413537482183,0.306642735757202,0.02437808008170032,0.00039435313748878014,19,True,4.951626574272617e-20,2942,False
14,10,-4263.172632254491,-4053.235227279966,True,1.485112366918599e-08,0.15487076604412972,19,1095,True,True,0.0388761633262592,0.02435542094509638,0.4807949621550047,0.30636815311129634,0.02435436224897643,0.0002503652761205464,19,True,1.9184434041875256e-19,2941,False
14,11,-4274.64079122813,-4059.7048766113544,True,1.4059835011813354e-10,0.25596490098676583,19,1095,True,True,0.03892810382720986,0.024527251942509334,0.48145915311118953,0.3085559180930146,0.024526101374851172,0.0009637503766308837,19,True,3.3165948887122764e-20,2940,False
