기간,휘발유(95RON),휘발유(92RON),등유,경유(0.001%),경유(0.05%),고유황중유(180cst/3.5%),나프타
08년04월29일,122.13,121.07,143.45,,147.04,87.4,107.51
08년04월30일,118.76,117.9,141.42,,145.21,86.61,105.72
08년05월01일,,,,,,,
08년05월02일,115.36,114.49,138.07,,142.1,85.93,103.09
08년05월03일,,,,,,,
08년05월04일,,,,,,,
08년05월05일,120.16,119.45,140.6,,144.64,88.75,106.81
08년05월06일,123.75,123.07,143.05,,147.37,90.68,109.53
08년05월07일,126.17,125.51,144.39,,148.51,91.41,109.51
08년05월08일,127.02,126.36,148.75,,151.78,91.67,109.43
08년05월09일,129.18,128.44,155.37,,157.16,92.48,109.81
08년05월10일,,,,,,,
08년05월11일,,,,,,,
08년05월12일,131.12,130.38,159.23,,160.78,93.11,109.15
08년05월13일,129.45,128.66,158.85,,160.86,91.4,108.64
08년05월14일,130.69,129.98,163.54,,165.22,91.84,111.44
08년05월15일,130.28,129.16,162.55,,163.8,93.63,110.66
08년05월16일,130.58,129.23,162.03,,163.08,93.83,112.23
08년05월17일,,,,,,,
08년05월18일,,,,,,,
08년05월19일,,,,,,,
08년05월20일,132.26,130.79,164.14,,164.63,94.91,113.82
08년05월21일,135.31,133.84,167.1,,168.96,98.31,116.84
08년05월22일,140.73,139.26,173.99,,176.74,102.27,122.83
08년05월23일,137.53,136.06,173.73,,175.62,100.54,121.53
08년05월24일,,,,,,,
08년05월25일,,,,,,,
08년05월26일,138.5,137.38,173.63,,174.85,100.39,122.73
08년05월27일,139.01,137.89,173.93,,174.86,100.36,124.12
08년05월28일,134.48,133.34,165.95,,166.46,94.95,118.68
08년05월29일,137.36,135.78,168.09,,169.09,96.3,119.8
08년05월30일,135.19,132.96,159.47,,160.82,94.38,117.44
08년05월31일,,,,,,,
08년06월01일,,,,,,,
08년06월02일,136.6,134.95,159.96,,161.23,93.79,119.62
08년06월03일,137.85,136.41,162.7,,164.66,93.2,121.23
08년06월04일,136.26,134.61,158.36,,161.5,90.93,119.91
08년06월05일,133.14,132.04,156.61,,160.05,91.62,116.65
08년06월06일,137.21,135.77,163.1,,166.24,95.08,119.38
08년06월07일,,,,,,,
08년06월08일,,,,,,,
08년06월09일,145.88,144.01,171.42,,174.82,99.35,125.12
08년06월10일,140.35,138.97,166.8,,171.2,97.18,122.47
08년06월11일,139.05,137.67,165.97,,170.74,98.73,123.67
08년06월12일,141.77,140.39,168.86,,173.32,100.76,125.95
08년06월13일,143.05,141.6,168.49,,173.05,101.5,126.38
08년06월14일,,,,,,,
08년06월15일,,,,,,,
08년06월16일,139.83,138.53,165.21,,169.47,99.83,125.06
08년06월17일,140.51,138.66,164.21,,168.92,101.12,125.61
08년06월18일,139.33,137.71,164.12,,169.04,99.94,125.48
08년06월19일,142.52,140.94,167.19,,172.14,101.93,128.27
08년06월20일,138.06,136.31,162.38,,168.0,101.01,126.02
08년06월21일,,,,,,,
08년06월22일,,,,,,,
08년06월23일,141.19,139.17,164.96,,171.76,102.05,129.24
08년06월24일,141.41,139.49,165.6,,172.93,102.65,130.29
08년06월25일,141.4,140.45,165.36,,172.69,103.31,130.57
08년06월26일,138.48,137.55,162.55,,168.85,102.67,128.08
08년06월27일,146.45,144.63,170.7,,175.71,107.23,133.55
08년06월28일,,,,,,,
08년06월29일,,,,,,,
08년06월30일,146.73,145.44,171.5,,176.35,107.88,133.36
08년07월01일,145.94,144.77,172.0,,174.48,108.96,131.83
08년07월02일,144.55,143.95,172.93,,174.81,110.57,132.6
08년07월03일,147.64,147.06,181.48,,182.18,114.26,135.96
08년07월04일,147.88,147.3,180.68,,182.46,116.89,136.19
08년07월05일,,,,,,,
08년07월06일,,,,,,,
08년07월07일,145.75,145.18,175.17,,177.9,115.09,133.61
08년07월08일,143.58,142.98,173.2,,176.79,114.37,131.28
08년07월09일,139.95,139.33,170.37,,173.59,114.12,128.81
08년07월10일,138.79,138.14,169.28,,172.17,114.68,127.68
08년07월11일,145.36,144.8,175.67,,179.04,118.57,132.16
08년07월12일,,,,,,,
08년07월13일,,,,,,,
08년07월14일,144.07,143.46,174.6,,176.25,118.93,131.9
08년07월15일,144.04,143.43,176.18,,177.27,120.78,132.54
08년07월16일,137.74,137.11,170.62,,171.15,118.95,128.36
08년07월17일,133.67,133.04,167.12,,166.81,116.49,124.42
08년07월18일,130.08,129.46,167.02,,166.09,113.29,122.93
08년07월19일,,,,,,,
08년07월20일,,,,,,,
08년07월21일,129.44,128.82,164.48,,163.74,112.16,122.39
08년07월22일,130.67,130.21,164.83,,163.65,113.33,122.72
08년07월23일,124.94,124.41,158.17,,157.35,107.24,117.16
08년07월24일,122.36,121.81,155.89,,154.81,104.49,114.96
08년07월25일,123.94,123.39,156.97,,156.36,106.24,117.04
08년07월26일,,,,,,,
08년07월27일,,,,,,,
08년07월28일,122.5,121.92,156.65,,155.88,108.72,116.18
08년07월29일,124.58,124.03,156.87,,155.95,110.58,117.95
08년07월30일,121.23,120.66,152.98,,152.2,108.92,115.47
08년07월31일,124.39,123.82,154.76,,153.59,110.39,118.21
08년08월01일,121.15,120.25,149.17,,147.91,109.99,114.47
08년08월02일,,,,,,,
08년08월03일,,,,,,,
08년08월04일,123.05,122.18,149.88,,148.14,111.66,115.91
08년08월05일,118.12,117.07,143.75,,141.73,107.98,109.65
08년08월06일,117.13,116.08,142.34,,140.64,106.73,109.81
08년08월07일,116.75,115.73,141.1,,139.59,106.09,110.42
08년08월08일,116.12,115.13,138.28,,136.74,102.54,109.21
08년08월09일,,,,,,,
08년08월10일,,,,,,,
08년08월11일,114.75,113.76,138.33,,136.17,100.09,108.01
08년08월12일,111.96,110.56,135.11,,132.67,96.34,105.14
08년08월13일,112.67,111.27,135.8,,132.58,98.71,104.83
08년08월14일,116.84,115.27,137.54,,134.18,103.88,110.41
08년08월15일,112.1,110.52,133.58,,130.26,99.02,106.99
08년08월16일,,,,,,,
08년08월17일,,,,,,,
08년08월18일,112.94,111.39,134.38,,131.75,99.85,107.57
08년08월19일,111.76,110.21,133.61,,130.66,99.4,106.45
08년08월20일,112.59,110.99,133.81,,129.7,101.38,107.3
08년08월21일,113.92,112.35,134.49,,131.67,102.86,107.66
08년08월22일,118.41,116.66,138.22,,137.06,105.63,111.45
08년08월23일,,,,,,,
08년08월24일,,,,,,,
08년08월25일,113.42,111.92,133.26,,132.15,103.32,107.27
08년08월26일,112.83,111.3,132.98,,131.71,103.42,106.97
08년08월27일,114.91,113.41,135.98,,134.07,105.41,108.7
08년08월28일,118.29,116.76,138.45,,135.71,107.76,109.84
08년08월29일,117.19,115.58,135.33,,132.65,106.8,108.17
08년08월30일,,,,,,,
08년08월31일,,,,,,,
08년09월01일,118.68,117.04,134.37,,132.46,106.65,108.19
08년09월02일,107.04,105.39,124.16,,123.01,99.32,98.69
08년09월03일,108.79,107.27,127.29,,125.67,100.27,99.47
08년09월04일,110.85,109.38,128.97,,128.1,99.63,101.34
08년09월05일,107.64,106.23,124.13,,123.25,96.38,97.76
08년09월06일,,,,,,,
08년09월07일,,,,,,,
08년09월08일,109.64,108.33,125.23,,124.1,94.97,98.65
08년09월09일,108.24,106.52,122.6,,121.45,92.71,96.48
08년09월10일,107.07,105.09,121.28,,119.87,91.68,95.63
08년09월11일,106.26,104.05,120.41,,117.94,89.58,94.37
08년09월12일,109.32,107.36,121.49,,119.37,89.49,97.29
08년09월13일,,,,,,,
08년09월14일,,,,,,,
08년09월15일,105.43,103.05,119.09,,116.95,86.94,93.34
08년09월16일,99.49,97.03,115.23,,113.99,79.32,86.6
08년09월17일,100.34,97.79,115.45,,114.54,78.49,85.72
08년09월18일,99.58,97.03,115.46,,115.84,80.5,84.4
08년09월19일,102.96,100.43,116.46,,116.83,84.49,86.89
08년09월20일,,,,,,,
08년09월21일,,,,,,,
08년09월22일,108.03,105.5,121.4,,122.29,90.29,90.7
08년09월23일,111.31,108.73,124.16,,124.43,91.95,91.43
08년09월24일,111.62,108.92,125.16,,124.72,91.64,89.83
08년09월25일,109.18,106.56,123.81,,123.42,90.22,87.04
08년09월26일,108.48,105.86,122.41,,122.47,90.55,86.62
08년09월27일,,,,,,,
08년09월28일,,,,,,,
08년09월29일,106.97,104.35,118.56,,118.53,89.25,85.03
08년09월30일,99.89,97.29,112.75,,112.68,85.04,78.06
08년10월01일,,,,,,,
08년10월02일,101.69,99.18,112.9,,112.16,85.13,79.58
08년10월03일,98.17,95.71,108.63,,107.66,81.85,77.43
08년10월04일,,,,,,,
08년10월05일,,,,,,,
08년10월06일,94.03,91.58,102.41,,100.89,77.45,74.59
08년10월07일,92.89,90.45,100.22,,98.66,76.3,71.48
08년10월08일,89.25,86.81,96.39,,94.87,71.59,66.4
08년10월09일,91.55,89.14,98.86,,96.86,72.56,66.39
08년10월10일,88.53,86.12,92.01,,89.17,67.84,60.35
08년10월11일,,,,,,,
08년10월12일,,,,,,,
08년10월13일,86.33,83.97,93.12,,89.56,66.7,58.11
08년10월14일,88.67,86.31,97.44,,92.21,68.29,58.81
08년10월15일,84.6,82.26,92.2,,88.17,63.54,49.5
08년10월16일,77.58,73.51,85.13,,81.75,56.85,45.18
08년10월17일,75.69,71.72,84.06,,82.24,54.5,45.08
08년10월18일,,,,,,,
08년10월19일,,,,,,,
08년10월20일,76.65,72.85,85.04,,82.99,56.91,45.96
08년10월21일,75.28,72.58,87.98,,85.25,57.86,45.52
08년10월22일,69.87,67.04,84.23,,82.47,54.64,40.01
08년10월23일,66.93,64.75,83.39,,81.94,52.43,38.22
