기간,휘발유(95RON),휘발유(92RON),등유,경유(0.001%),경유(0.05%),고유황중유(180cst/3.5%),나프타
11년09월08일,128.6,126.46,127.23,,128.54,104.36,107.26
11년09월09일,127.27,125.59,126.5,,127.66,103.71,106.71
11년09월10일,,,,,,,
11년09월11일,,,,,,,
11년09월12일,123.02,121.43,122.46,,123.73,100.0,103.42
11년09월13일,124.25,122.5,123.21,,124.36,100.79,104.21
11년09월14일,123.4,121.78,123.04,,123.95,99.96,104.54
11년09월15일,124.59,122.97,123.86,,124.82,100.87,105.56
11년09월16일,127.18,125.36,126.99,,128.14,103.99,107.6
11년09월17일,,,,,,,
11년09월18일,,,,,,,
11년09월19일,125.81,123.99,125.41,,126.6,102.38,106.07
11년09월20일,124.09,121.99,123.63,,124.55,101.21,104.49
11년09월21일,124.67,122.57,123.62,,124.61,101.97,104.21
11년09월22일,122.11,120.01,120.54,,121.41,99.94,100.42
11년09월23일,120.58,118.2,120.49,,120.87,99.2,99.92
11년09월24일,,,,,,,
11년09월25일,,,,,,,
11년09월26일,117.02,114.92,117.06,,117.31,96.1,96.37
11년09월27일,119.15,117.0,119.7,,119.9,98.43,99.53
11년09월28일,119.52,117.07,120.66,,121.26,98.4,100.46
11년09월29일,120.15,117.7,121.6,,122.2,99.09,100.21
11년09월30일,119.47,117.02,120.44,,120.43,98.23,98.3
11년10월01일,,,,,,,
11년10월02일,,,,,,,
11년10월03일,117.34,114.89,119.01,,118.6,96.4,95.14
11년10월04일,116.11,113.87,117.37,,117.05,95.48,93.55
11년10월05일,118.69,116.24,117.31,,117.31,95.55,93.37
11년10월06일,120.43,117.98,117.71,,117.7,96.83,94.39
11년10월07일,122.8,119.78,119.74,,119.53,97.97,94.91
11년10월08일,,,,,,,
11년10월09일,,,,,,,
11년10월10일,122.77,119.75,120.03,,119.45,98.22,94.98
11년10월11일,123.42,121.02,120.57,,119.93,99.64,94.92
11년10월12일,125.95,123.55,121.41,,120.91,102.63,98.6
11년10월13일,124.79,122.54,121.93,,121.47,103.02,98.9
11년10월14일,126.14,123.89,123.82,,123.55,103.58,100.12
11년10월15일,,,,,,,
11년10월16일,,,,,,,
11년10월17일,128.02,126.12,127.91,,126.45,105.05,101.75
11년10월18일,124.0,122.2,124.69,,123.18,102.71,98.37
11년10월19일,123.72,122.07,125.65,,124.72,103.35,98.55
11년10월20일,120.07,118.42,124.32,,123.99,101.76,96.05
11년10월21일,121.25,119.81,125.57,,125.07,102.88,96.2
11년10월22일,,,,,,,
11년10월23일,,,,,,,
11년10월24일,121.68,120.24,126.36,,126.04,103.84,95.91
11년10월25일,121.26,119.78,127.62,,127.89,105.11,93.85
11년10월26일,,,,,,,
11년10월27일,120.21,118.81,127.42,,127.98,104.63,94.14
11년10월28일,121.54,120.14,129.27,,129.67,106.14,94.92
11년10월29일,,,,,,,
11년10월30일,,,,,,,
11년10월31일,118.46,116.98,127.3,,127.28,103.82,95.17
11년11월01일,115.68,114.06,125.89,,126.28,103.35,93.86
11년11월02일,117.28,115.58,126.73,,127.76,105.79,95.7
11년11월03일,114.71,112.86,124.62,,126.01,105.22,93.55
11년11월04일,116.45,114.85,127.83,,129.5,107.06,95.3
11년11월05일,,,,,,,
11년11월06일,,,,,,,
11년11월07일,,,,,,,
11년11월08일,120.1,118.41,131.98,,133.56,110.24,97.7
11년11월09일,119.23,117.54,131.14,,132.92,110.06,97.83
11년11월10일,116.13,114.43,129.11,,130.73,108.56,96.35
11년11월11일,115.34,113.62,130.83,,132.67,110.08,96.99
11년11월12일,,,,,,,
11년11월13일,,,,,,,
11년11월14일,113.54,111.84,131.47,,133.27,110.53,96.22
11년11월15일,111.16,109.51,130.99,,133.4,109.54,94.95
11년11월16일,112.49,110.84,131.08,,132.9,109.06,96.42
11년11월17일,112.96,111.21,130.52,,132.04,107.47,97.07
11년11월18일,109.72,107.93,128.88,,130.15,104.72,94.09
11년11월19일,,,,,,,
11년11월20일,,,,,,,
11년11월21일,107.97,105.72,126.87,,127.59,102.04,92.4
11년11월22일,108.72,106.92,126.51,,127.17,102.23,93.45
11년11월23일,109.02,107.47,127.16,,128.01,103.96,94.16
11년11월24일,108.83,107.28,125.89,,126.61,103.54,94.0
11년11월25일,109.32,107.27,125.24,,126.13,103.45,93.85
11년11월26일,,,,,,,
11년11월27일,,,,,,,
11년11월28일,109.94,108.39,125.25,,126.49,103.66,94.65
11년11월29일,110.32,108.77,124.53,,126.44,105.09,95.38
11년11월30일,111.14,109.59,125.37,,127.62,105.81,96.28
11년12월01일,111.46,109.91,125.7,,127.71,106.15,96.5
11년12월02일,112.65,110.85,125.39,,127.47,105.94,96.81
11년12월03일,,,,,,,
11년12월04일,,,,,,,
11년12월05일,114.6,112.49,126.06,,128.06,102.91,98.14
11년12월06일,112.88,110.77,125.02,,127.0,105.02,98.37
11년12월07일,114.45,112.21,127.01,,128.96,105.69,100.31
11년12월08일,113.31,111.08,126.25,,128.26,105.27,99.16
11년12월09일,111.82,109.37,123.51,,126.1,101.93,96.61
11년12월10일,,,,,,,
11년12월11일,,,,,,,
11년12월12일,113.59,111.14,122.75,,124.73,101.98,98.25
11년12월13일,113.92,111.07,122.94,,124.78,101.83,98.39
11년12월14일,115.87,112.84,124.2,,126.02,102.8,99.14
11년12월15일,112.96,109.9,121.06,,122.84,100.25,97.24
11년12월16일,112.11,109.2,119.81,,121.56,99.03,96.2
11년12월17일,,,,,,,
11년12월18일,,,,,,,
11년12월19일,110.95,108.18,118.65,,120.52,98.43,96.25
11년12월20일,111.55,109.35,119.34,,121.79,101.23,98.27
11년12월21일,114.49,112.36,122.04,,124.44,102.91,99.42
11년12월22일,114.71,113.07,122.26,,124.83,103.08,100.16
11년12월23일,115.24,113.23,122.2,,125.22,103.31,100.87
11년12월24일,,,,,,,
11년12월25일,,,,,,,
11년12월26일,,,,,,,
11년12월27일,116.1,113.89,121.51,,124.35,103.21,100.59
11년12월28일,115.76,113.16,121.5,,124.47,103.43,100.63
11년12월29일,115.72,113.16,121.31,,124.09,103.63,99.59
11년12월30일,116.9,114.35,121.67,,124.22,104.85,99.97
11년12월31일,,,,,,,
12년01월01일,,,,,,,
12년01월02일,,,,,,,
12년01월03일,119.13,116.28,123.29,,125.92,106.45,100.67
12년01월04일,122.87,119.67,125.63,,128.87,110.12,102.26
12년01월05일,123.67,120.69,127.42,,131.02,110.97,104.25
12년01월06일,123.57,120.1,127.0,,130.63,109.77,104.1
12년01월07일,,,,,,,
12년01월08일,,,,,,,
12년01월09일,123.75,120.25,128.12,,131.36,109.85,105.95
12년01월10일,124.17,120.7,128.62,,131.51,110.92,106.23
12년01월11일,124.02,120.82,129.02,,132.08,112.87,105.73
12년01월12일,123.18,119.98,128.41,,131.3,112.6,104.18
12년01월13일,122.4,119.12,127.3,,130.56,112.16,103.94
12년01월14일,,,,,,,
12년01월15일,,,,,,,
12년01월16일,121.83,118.64,127.22,,130.61,111.2,103.45
12년01월17일,123.56,120.37,127.6,,131.57,112.0,103.87
12년01월18일,124.2,120.81,126.31,,130.12,112.54,104.0
12년01월19일,125.51,121.91,125.38,,129.11,111.94,104.88
12년01월20일,125.96,122.41,126.16,,129.33,112.14,105.14
12년01월21일,,,,,,,
12년01월22일,,,,,,,
12년01월23일,,,,,,,
12년01월24일,,,,,,,
12년01월25일,124.59,120.99,125.53,,128.32,111.01,103.87
12년01월26일,125.32,121.79,125.8,,128.66,109.21,106.03
12년01월27일,125.7,121.75,125.66,,128.87,111.69,106.47
12년01월28일,,,,,,,
12년01월29일,,,,,,,
12년01월30일,127.3,123.9,126.28,,129.77,110.81,108.48
12년01월31일,125.55,122.85,126.6,,130.06,110.88,108.06
12년02월01일,125.58,123.42,126.76,,129.94,110.3,108.21
12년02월02일,125.48,123.18,127.54,,130.23,110.4,108.24
12년02월03일,125.2,122.55,127.64,,129.82,108.39,108.14
12년02월04일,,,,,,,
12년02월05일,,,,,,,
12년02월06일,126.46,124.08,129.44,,132.13,110.63,108.62
12년02월07일,127.23,124.92,131.08,,134.16,111.28,110.41
12년02월08일,128.07,126.12,131.43,,134.54,111.93,110.57
12년02월09일,130.35,128.05,131.4,,134.75,113.45,112.21
12년02월10일,130.33,128.77,131.41,,134.66,113.8,113.22
12년02월11일,,,,,,,
12년02월12일,,,,,,,
12년02월13일,131.75,129.89,131.85,,134.89,113.56,114.26
12년02월14일,130.4,128.45,130.59,,133.6,111.85,114.68
12년02월15일,130.77,129.17,132.11,,134.68,112.28,115.06
12년02월16일,130.71,128.6,131.81,,134.39,112.29,114.88
12년02월17일,133.06,130.64,133.24,,135.39,113.42,116.55
12년02월18일,,,,,,,
12년02월19일,,,,,,,
12년02월20일,132.56,130.06,133.43,,135.23,113.01,115.97
12년02월21일,131.85,130.1,133.76,,135.14,112.11,115.91
12년02월22일,133.25,131.34,135.38,,136.13,114.05,118.01
12년02월23일,133.39,131.48,136.31,,136.97,114.61,118.11
12년02월24일,134.82,132.87,137.2,,137.83,115.41,118.32
12년02월25일,,,,,,,
12년02월26일,,,,,,,
12년02월27일,135.52,133.52,137.31,,137.74,115.65,119.06
12년02월28일,134.8,132.8,136.65,,137.47,114.11,119.79
12년02월29일,133.09,131.23,135.39,,135.88,112.6,120.04
12년03월01일,133.91,131.89,133.85,,134.77,113.24,120.48
12년03월02일,136.16,134.3,135.21,,136.72,116.13,121.74
12년03월03일,,,,,,,
12년03월04일,,,,,,,
12년03월05일,134.37,132.77,134.07,,135.38,115.24,119.27
12년03월06일,134.11,132.51,135.05,,136.69,115.72,117.87
12년03월07일,133.65,132.05,133.95,,133.97,114.15,118.18
12년03월08일,137.03,134.32,135.4,,137.76,114.98,119.81
12년03월09일,136.74,134.64,136.92,,139.3,113.45,119.89
12년03월10일,,,,,,,
12년03월11일,,,,,,,
12년03월12일,137.06,135.27,136.79,,139.1,113.76,120.46
12년03월13일,137.47,135.68,136.94,,139.22,115.64,120.72
12년03월14일,138.4,136.39,137.38,,139.3,115.91,120.58
12년03월15일,138.58,135.99,137.17,,138.95,115.25,120.87
12년03월16일,136.71,133.69,136.25,,137.88,115.37,119.91
12년03월17일,,,,,,,
12년03월18일,,,,,,,
12년03월19일,138.23,135.39,137.51,,139.24,116.24,120.79
12년03월20일,137.27,134.57,137.21,,139.29,115.83,119.61
12년03월21일,136.95,134.78,137.04,,139.17,115.5,119.16
12년03월22일,135.49,133.32,135.92,,138.0,114.82,117.7
12년03월23일,136.02,133.57,135.91,,137.95,114.95,117.83
12년03월24일,,,,,,,
12년03월25일,,,,,,,
12년03월26일,137.99,135.54,136.86,,139.0,115.43,119.11
12년03월27일,138.93,136.52,137.58,,139.7,116.3,118.98
12년03월28일,137.4,134.99,136.75,,138.65,115.36,117.51
12년03월29일,137.11,135.48,136.77,,138.64,115.36,118.06
12년03월30일,136.43,134.8,135.39,,137.09,114.04,116.68
12년03월31일,,,,,,,
12년04월01일,,,,,,,
12년04월02일,136.83,134.51,135.29,,136.74,114.22,116.21
12년04월03일,140.15,136.58,137.26,,138.71,115.26,117.91
12년04월04일,141.36,137.55,136.92,,138.57,114.58,117.89
12년04월05일,137.73,134.84,134.99,,137.07,114.2,116.57
12년04월06일,,,,,,,
12년04월07일,,,,,,,
12년04월08일,,,,,,,
12년04월09일,136.94,134.05,134.12,,136.2,113.54,116.18
12년04월10일,135.68,132.79,133.45,,135.56,113.2,116.05
12년04월11일,132.93,129.76,131.46,,133.5,111.53,114.0
12년04월12일,134.65,131.38,132.78,,134.73,112.35,115.34
12년04월13일,136.73,133.06,133.47,,135.27,112.91,116.43
12년04월14일,,,,,,,
12년04월15일,,,,,,,
12년04월16일,135.66,131.53,132.51,,134.13,111.48,116.09
12년04월17일,134.27,130.12,132.1,,133.34,110.72,114.46
12년04월18일,132.77,129.37,132.0,,133.35,110.88,114.16
12년04월19일,132.76,129.46,132.32,,133.8,112.11,114.21
12년04월20일,131.38,128.11,132.38,,133.84,111.02,112.98
12년04월21일,,,,,,,
12년04월22일,,,,,,,
12년04월23일,130.52,127.43,131.71,,133.5,110.66,111.95
12년04월24일,132.69,129.56,132.07,,133.96,111.36,112.58
12년04월25일,132.68,128.56,132.28,,134.2,111.59,111.74
12년04월26일,134.07,129.22,132.66,,134.5,111.78,111.76
12년04월27일,134.1,129.45,132.68,,134.58,112.04,111.31
12년04월28일,,,,,,,
12년04월29일,,,,,,,
12년04월30일,135.8,130.02,133.01,,134.88,111.88,111.13
12년05월01일,,,,,,,
12년05월02일,131.77,128.17,133.15,,134.96,112.45,109.34
12년05월03일,130.45,126.68,131.62,,133.38,110.44,108.22
12년05월04일,127.47,123.7,128.81,,130.33,108.3,105.29
12년05월05일,,,,,,,
12년05월06일,,,,,,,
12년05월07일,125.95,122.79,126.04,,127.48,105.7,102.4
12년05월08일,124.76,121.6,125.7,,127.29,105.68,102.49
12년05월09일,123.97,120.81,125.83,,127.37,105.19,102.49
12년05월10일,124.0,120.84,126.31,,127.72,104.8,101.57
12년05월11일,123.26,120.1,124.92,,126.31,103.56,100.66
12년05월12일,,,,,,,
12년05월13일,,,,,,,
12년05월14일,122.61,119.06,123.85,,125.16,102.86,100.6
12년05월15일,122.27,118.77,124.12,,125.68,104.27,100.14
12년05월16일,120.72,117.32,123.24,,125.2,103.82,98.85
12년05월17일,120.39,116.99,122.67,,124.39,103.6,98.13
12년05월18일,117.98,114.58,120.58,,122.34,100.81,95.98
12년05월19일,,,,,,,
12년05월20일,,,,,,,
12년05월21일,118.68,115.28,121.13,,122.84,101.7,94.94
12년05월22일,119.05,115.65,121.41,,123.07,102.25,94.4
12년05월23일,118.02,114.67,120.01,,121.51,101.69,93.42
12년05월24일,115.83,112.48,118.81,,120.3,100.1,91.4
12년05월25일,117.75,114.4,120.01,,121.34,102.21,93.35
12년05월26일,,,,,,,
12년05월27일,,,,,,,
12년05월28일,118.44,115.11,120.76,,121.82,101.95,94.17
12년05월29일,118.77,115.44,120.69,,121.75,101.79,94.65
12년05월30일,117.12,113.79,118.21,,119.4,100.44,92.71
12년05월31일,115.18,111.85,116.49,,117.97,98.49,89.91
12년06월01일,113.38,108.37,113.59,,115.2,95.65,85.84
12년06월02일,,,,,,,
12년06월03일,,,,,,,
12년06월04일,109.85,104.95,109.95,,112.1,91.24,81.98
12년06월05일,110.38,106.83,111.18,,113.38,91.48,83.72
12년06월06일,110.86,107.78,112.4,,114.36,92.77,84.73
12년06월07일,109.68,106.51,113.05,,114.98,93.41,84.67
12년06월08일,106.96,103.81,110.96,,112.76,91.6,80.45
12년06월09일,,,,,,,
12년06월10일,,,,,,,
12년06월11일,110.03,106.84,113.51,,115.36,94.99,83.98
12년06월12일,105.57,102.62,110.68,,112.44,93.12,80.13
12년06월13일,105.79,102.59,111.45,,113.0,94.14,79.38
12년06월14일,104.72,101.72,111.34,,112.64,93.83,79.98
12년06월15일,105.59,102.46,112.25,,113.64,95.43,81.86
12년06월16일,,,,,,,
12년06월17일,,,,,,,
12년06월18일,104.52,101.68,112.05,,113.46,94.46,82.25
12년06월19일,101.91,98.88,109.58,,111.18,90.94,79.25
12년06월20일,101.84,99.09,110.97,,112.61,92.11,78.75
12년06월21일,97.17,94.62,107.98,,109.59,89.94,76.26
12년06월22일,96.06,92.92,106.22,,107.76,87.88,75.3
12년06월23일,,,,,,,
12년06월24일,,,,,,,
12년06월25일,97.83,94.2,106.22,,107.76,88.36,76.37
12년06월26일,99.73,96.39,107.55,,109.07,89.1,79.17
12년06월27일,100.55,97.35,107.94,,109.44,88.96,79.14
12년06월28일,100.03,96.98,108.48,,110.09,89.8,80.68
12년06월29일,101.07,97.77,108.81,,110.76,89.64,81.29
12년06월30일,,,,,,,
12년07월01일,,,,,,,
12년07월02일,104.41,101.11,112.11,,113.72,91.78,83.89
12년07월03일,105.33,102.19,113.01,,114.59,92.5,86.12
12년07월04일,107.46,104.31,114.85,,116.32,94.12,86.62
12년07월05일,108.62,105.14,115.26,,116.95,95.29,88.44
12년07월06일,109.65,106.05,115.46,,117.4,94.35,89.62
12년07월07일,,,,,,,
12년07월08일,,,,,,,
12년07월09일,108.77,105.07,114.52,,116.57,92.83,89.43
12년07월10일,109.35,106.15,114.27,,116.75,92.4,88.47
12년07월11일,109.56,106.36,114.94,,117.29,92.57,89.55
12년07월12일,110.17,106.97,114.63,,117.1,93.21,89.98
12년07월13일,113.11,109.91,116.26,,118.17,94.69,91.47
12년07월14일,,,,,,,
12년07월15일,,,,,,,
12년07월16일,114.79,110.82,116.82,,118.63,94.76,92.28
12년07월17일,115.59,112.89,118.86,,120.64,96.88,95.12
12년07월18일,115.42,112.67,119.14,,121.06,96.95,95.09
12년07월19일,119.06,116.26,121.83,,123.73,98.73,96.25
12년07월20일,120.85,117.42,122.62,,124.39,99.9,96.89
12년07월21일,,,,,,,
12년07월22일,,,,,,,
12년07월23일,117.62,114.19,119.37,,121.01,96.43,93.13
12년07월24일,117.29,114.22,119.36,,120.9,96.36,92.41
12년07월25일,116.4,113.24,119.21,,120.41,96.29,91.72
12년07월26일,115.89,113.0,119.54,,120.82,97.2,90.93
12년07월27일,117.33,114.68,121.2,,122.69,98.56,91.31
12년07월28일,,,,,,,
12년07월29일,,,,,,,
12년07월30일,118.16,115.51,121.29,,122.97,98.89,92.73
12년07월31일,119.43,116.16,120.92,,122.61,98.82,93.49
12년08월01일,119.74,116.39,120.62,,122.27,98.49,94.43
12년08월02일,123.26,118.14,121.43,,123.0,98.6,97.2
12년08월03일,123.15,119.16,121.95,,123.45,98.7,97.03
12년08월04일,,,,,,,
12년08월05일,,,,,,,
12년08월06일,124.56,120.52,124.37,,125.9,100.12,98.08
12년08월07일,125.92,122.2,126.11,,127.5,101.58,99.52
12년08월08일,128.52,124.67,127.43,,128.69,102.16,100.44
12년08월09일,,,,,,,
12년08월10일,131.63,127.6,129.25,,130.56,102.63,102.64
12년08월11일,,,,,,,
12년08월12일,,,,,,,
12년08월13일,131.79,128.44,129.35,,130.69,102.86,103.26
12년08월14일,131.59,128.16,129.87,,131.02,103.64,101.71
12년08월15일,129.53,126.13,130.45,,131.25,103.58,103.29
12년08월16일,131.1,127.79,132.38,,133.41,105.31,104.55
12년08월17일,130.24,126.97,132.03,,133.17,105.0,104.23
12년08월18일,,,,,,,
12년08월19일,,,,,,,
12년08월20일,,,,,,,
12년08월21일,129.58,126.53,131.8,,133.22,105.03,104.12
12년08월22일,127.62,125.34,131.96,,133.46,105.23,103.86
12년08월23일,128.85,126.86,133.55,,135.25,107.15,106.21
12년08월24일,127.84,124.74,132.71,,134.17,105.78,106.81
12년08월25일,,,,,,,
12년08월26일,,,,,,,
12년08월27일,128.93,125.38,134.02,,135.32,106.52,108.11
12년08월28일,126.2,123.0,132.46,,133.52,105.43,106.11
12년08월29일,124.32,121.12,131.58,,132.48,104.69,104.75
12년08월30일,124.11,120.91,132.91,,133.63,105.94,106.96
12년08월31일,122.61,119.25,133.36,,133.68,105.77,107.29
12년09월01일,,,,,,,
12년09월02일,,,,,,,
12년09월03일,123.19,119.83,134.63,,134.92,107.09,109.01
12년09월04일,125.08,121.32,136.72,,136.27,108.45,110.54
12년09월05일,122.45,118.69,134.03,,133.4,106.22,108.71
12년09월06일,123.92,120.22,134.07,,133.35,106.73,109.05
12년09월07일,126.06,122.36,134.01,,132.78,106.49,109.21
12년09월08일,,,,,,,
12년09월09일,,,,,,,
12년09월10일,127.89,124.07,134.66,,133.53,107.17,110.31
12년09월11일,127.84,124.02,134.5,,133.25,107.32,110.37
12년09월12일,128.99,125.39,135.66,,134.58,107.78,110.56
12년09월13일,128.39,124.69,135.09,,134.53,107.52,108.52
12년09월14일,129.65,126.14,135.99,,135.89,109.26,109.66
12년09월15일,,,,,,,
12년09월16일,,,,,,,
12년09월17일,128.87,125.07,135.26,,135.76,108.21,108.6
12년09월18일,125.69,121.89,131.98,,132.81,105.54,104.94
12년09월19일,124.92,121.12,131.24,,132.26,104.52,104.33
12년09월20일,122.54,118.2,127.13,,128.02,100.29,99.49
12년09월21일,124.71,120.62,129.07,,130.97,102.96,102.54
12년09월22일,,,,,,,
12년09월23일,,,,,,,
12년09월24일,124.77,121.21,129.24,,130.13,102.73,103.11
12년09월25일,124.94,121.56,129.67,,130.23,102.61,103.53
12년09월26일,123.86,120.48,128.54,,129.19,101.41,103.28
12년09월27일,126.59,122.79,128.94,,129.38,100.95,104.02
12년09월28일,129.16,125.27,131.28,,131.75,102.91,106.34
12년09월29일,,,,,,,
12년09월30일,,,,,,,
12년10월01일,128.59,124.51,130.25,,130.75,102.67,106.68
12년10월02일,127.46,123.38,130.74,,131.88,102.59,105.6
12년10월03일,124.19,120.69,129.62,,130.06,101.11,103.03
12년10월04일,123.33,119.83,128.1,,128.61,99.32,101.32
12년10월05일,128.16,124.61,131.5,,131.27,101.12,104.67
12년10월06일,,,,,,,
12년10월07일,,,,,,,
12년10월08일,127.98,124.38,130.04,,130.03,98.4,104.3
12년10월09일,128.62,124.87,131.08,,131.2,98.48,105.11
12년10월10일,130.14,126.39,132.86,,132.31,101.92,107.3
12년10월11일,130.18,126.43,134.22,,133.22,102.11,107.41
12년10월12일,128.97,125.9,133.77,,132.71,101.45,106.99
12년10월13일,,,,,,,
12년10월14일,,,,,,,
12년10월15일,127.71,124.88,132.58,,131.71,101.46,105.9
12년10월16일,127.64,124.44,132.58,,132.13,101.77,107.48
12년10월17일,125.42,122.12,131.76,,131.43,100.56,107.45
12년10월18일,124.3,120.9,131.73,,131.24,100.5,105.91
12년10월19일,124.05,120.35,131.34,,130.47,100.73,106.32
12년10월20일,,,,,,,
12년10월21일,,,,,,,
12년10월22일,120.09,116.52,129.18,,128.06,99.77,103.42
12년10월23일,118.16,114.03,127.18,,126.52,99.33,102.29
12년10월24일,116.92,113.18,126.25,,125.6,98.1,102.23
12년10월25일,115.49,111.75,126.42,,126.06,98.1,102.19
12년10월26일,,,,,,,
12년10월27일,,,,,,,
12년10월28일,,,,,,,
12년10월29일,116.84,113.09,127.32,,127.19,97.88,103.67
12년10월30일,117.57,113.72,127.87,,127.47,96.69,104.42
12년10월31일,117.7,113.45,127.4,,127.51,96.46,104.14
12년11월01일,115.45,112.76,126.5,,126.99,95.42,104.53
12년11월02일,115.1,112.41,125.05,,125.81,94.66,104.5
12년11월03일,,,,,,,
12년11월04일,,,,,,,
12년11월05일,112.52,110.24,122.39,,123.03,92.04,100.91
12년11월06일,115.55,113.32,123.89,,124.28,92.83,102.26
12년11월07일,119.75,116.66,126.53,,126.95,95.62,104.78
12년11월08일,116.19,113.1,123.47,,123.49,92.96,101.11
12년11월09일,116.49,113.13,123.13,,123.0,92.09,101.32
12년11월10일,,,,,,,
12년11월11일,,,,,,,
12년11월12일,119.4,116.18,124.69,,124.61,94.08,103.86
12년11월13일,,,,,,,
12년11월14일,118.87,115.96,123.91,,123.74,94.18,102.71
12년11월15일,122.11,118.61,125.27,,124.95,95.17,104.03
12년11월16일,121.16,117.76,124.8,,124.02,94.92,102.93
12년11월17일,,,,,,,
12년11월18일,,,,,,,
12년11월19일,123.02,119.78,125.82,,125.39,95.76,103.34
12년11월20일,123.8,120.5,126.81,,127.13,96.02,103.16
12년11월21일,121.46,118.06,126.06,,126.65,94.62,102.22
12년11월22일,122.56,119.16,126.58,,127.22,95.19,101.08
12년11월23일,122.98,119.3,126.24,,127.13,95.21,101.23
12년11월24일,,,,,,,
12년11월25일,,,,,,,
12년11월26일,122.8,118.81,126.85,,127.96,96.09,101.86
12년11월27일,121.35,117.72,126.51,,127.66,96.14,102.56
12년11월28일,120.42,117.11,124.98,,126.21,94.72,101.73
12년11월29일,120.12,117.06,124.38,,125.99,93.23,102.39
12년11월30일,120.74,117.84,125.51,,127.19,93.33,102.88
12년12월01일,,,,,,,
12년12월02일,,,,,,,
12년12월03일,120.72,118.12,126.79,129.65,128.25,94.34,104.57
12년12월04일,120.09,117.04,126.15,129.25,127.72,94.18,103.91
12년12월05일,118.43,115.17,125.97,129.01,127.25,94.39,102.27
12년12월06일,116.11,112.85,124.72,127.56,125.81,94.05,102.2
12년12월07일,114.99,111.93,123.32,125.99,123.99,92.77,101.62
12년12월08일,,,,,,,
12년12월09일,,,,,,,
12년12월10일,116.49,113.63,122.6,124.99,123.03,93.14,102.53
12년12월11일,116.6,113.74,122.1,124.53,122.82,93.49,101.95
12년12월12일,116.99,114.0,122.82,125.15,123.44,93.82,102.02
12년12월13일,117.81,114.81,123.9,125.82,124.11,93.95,101.01
12년12월14일,116.04,113.04,123.45,125.06,123.41,93.68,101.19
12년12월15일,,,,,,,
12년12월16일,,,,,,,
12년12월17일,117.85,114.85,123.99,125.3,124.05,94.24,102.77
12년12월18일,118.26,115.33,124.02,124.94,123.81,94.09,103.4
12년12월19일,118.44,115.7,124.85,126.06,124.89,94.42,103.41
12년12월20일,119.56,116.51,126.17,127.27,126.05,94.63,103.9
12년12월21일,120.01,116.76,125.92,127.2,126.08,94.36,103.52
12년12월22일,,,,,,,
12년12월23일,,,,,,,
12년12월24일,119.97,116.81,124.98,126.1,124.98,93.98,103.62
12년12월25일,,,,,,,
12년12월26일,120.74,117.54,124.84,125.84,124.72,94.06,104.84
12년12월27일,122.83,119.71,126.54,127.29,126.17,95.41,106.45
12년12월28일,122.55,120.15,126.46,127.09,125.97,95.22,104.98
12년12월29일,,,,,,,
12년12월30일,,,,,,,
12년12월31일,122.52,120.21,125.38,125.9,124.93,94.27,103.72
13년01월01일,,,,,,,
13년01월02일,123.68,120.91,126.09,126.97,125.9,95.08,105.68
13년01월03일,122.97,120.77,126.48,127.19,126.19,95.78,105.36
13년01월04일,121.46,119.14,126.33,126.77,125.83,97.44,104.3
13년01월05일,,,,,,,
13년01월06일,,,,,,,
13년01월07일,121.05,118.03,126.31,126.47,125.51,97.28,104.09
13년01월08일,121.45,119.16,127.12,127.27,126.31,97.32,104.7
13년01월09일,121.88,119.76,128.19,128.19,127.2,97.7,106.09
13년01월10일,121.83,119.41,128.74,128.92,127.86,98.54,105.83
13년01월11일,120.7,118.32,128.06,128.22,127.14,98.04,104.47
13년01월12일,,,,,,,
13년01월13일,,,,,,,
13년01월14일,118.9,116.39,127.07,127.2,126.12,97.16,102.37
13년01월15일,120.36,117.91,128.35,128.56,127.32,97.54,104.57
13년01월16일,119.48,116.93,127.01,127.14,125.9,96.29,102.89
13년01월17일,119.81,117.59,127.07,127.18,125.86,96.93,102.62
13년01월18일,121.4,118.65,127.94,128.31,126.95,98.15,104.95
13년01월19일,,,,,,,
13년01월20일,,,,,,,
13년01월21일,122.47,119.91,128.33,128.5,127.14,98.35,105.53
13년01월22일,122.64,119.69,128.68,128.62,127.16,97.3,105.6
13년01월23일,123.82,120.87,128.82,128.92,127.33,96.76,107.51
13년01월24일,124.04,120.97,129.21,129.23,127.55,97.17,107.54
13년01월25일,125.09,121.93,129.32,129.48,127.82,97.88,107.13
13년01월26일,,,,,,,
13년01월27일,,,,,,,
13년01월28일,124.54,121.33,128.43,128.93,127.15,97.64,107.15
13년01월29일,125.76,122.72,128.76,129.21,127.43,97.87,106.85
13년01월30일,128.22,125.07,130.66,131.01,129.19,98.38,108.32
13년01월31일,129.35,126.05,130.93,131.28,129.42,99.14,108.58
13년02월01일,130.09,126.79,131.97,132.45,130.6,99.8,109.99
13년02월02일,,,,,,,
13년02월03일,,,,,,,
13년02월04일,131.33,127.85,133.24,133.93,132.13,100.45,110.65
13년02월05일,130.0,126.62,132.86,133.52,131.78,100.15,109.7
13년02월06일,132.0,129.0,134.48,134.98,133.29,100.82,110.69
13년02월07일,134.69,131.5,135.28,135.58,133.83,101.24,112.93
13년02월08일,134.6,131.43,136.59,136.54,134.84,101.72,114.3
13년02월09일,,,,,,,
13년02월10일,,,,,,,
13년02월11일,,,,,,,
13년02월12일,,,,,,,
