station_id,grid_id,cell_x,cell_y,center_lon,center_lat,source_region,brand,is_self
A0000117,G500_2284_3369,1142000,1684500,129.061626,35.14793645,부산,S-OIL,일반
A0000118,G500_1957_3875,978500,1937500,127.25978489,37.43867608,경기,NC오일,일반
A0000119,G500_1881_3921,940500,1960500,126.82838505,37.64432128,경기,SK에너지,일반
A0000120,G500_1903_3900,951500,1950000,126.95375955,37.55032759,서울,S-OIL,셀프
A0000121,G500_1822_3926,911000,1963000,126.49372988,37.66447406,인천,S-OIL,일반
A0000122,G500_1957_3875,978500,1937500,127.25978489,37.43867608,경기,HD현대오일뱅크,일반
A0000124,G500_1991_3744,995500,1872000,127.45232877,36.84847982,충북,HD현대오일뱅크,일반
A0000125,G500_1934_3736,967000,1868000,127.13282686,36.81186381,충남,GS칼텍스,일반
A0000128,G500_1907_3901,953500,1950500,126.97636923,37.55493677,서울,GS칼텍스,일반
A0000129,G500_1902_3898,951000,1949000,126.94816571,37.5412881,서울,SK에너지,일반
A0000130,G500_1879_3962,939500,1981000,126.8153511,37.82901575,경기,GS칼텍스,일반
A0000132,G500_1900_3898,950000,1949000,126.93684653,37.54123466,서울,S-OIL,일반
A0000134,G500_1898_3903,949000,1951500,126.92535439,37.56371296,서울,S-OIL,셀프
A0000135,G500_1897_3902,948500,1951000,126.91972808,37.55917872,서울,SK에너지,일반
A0000136,G500_1953_3988,976500,1994000,127.23537298,37.94787801,경기,알뜰주유소,셀프
A0000139,G500_1895_3904,947500,1952000,126.90833497,37.56813561,서울,S-OIL,셀프
A0000141,G500_1901_3899,950500,1949500,126.94247256,37.5457681,서울,HD현대오일뱅크,일반
A0000142,G500_1896_3903,948000,1951500,126.91403186,37.56365731,서울,GS칼텍스,일반
A0000143,G500_1896_3903,948000,1951500,126.91403186,37.56365731,서울,GS칼텍스,일반
A0000145,G500_1897_3902,948500,1951000,126.91972808,37.55917872,서울,자가상표,일반
A0000146,G500_1897_3902,948500,1951000,126.91972808,37.55917872,서울,SK에너지,일반
A0000147,G500_1966_3781,983000,1890500,127.31170996,37.01510889,경기,GS칼텍스,일반
A0000148,G500_1991_3842,995500,1921000,127.45205152,37.29018155,경기,S-OIL,일반
A0000149,G500_1911_3823,955500,1911500,127.00134485,37.20350823,경기,GS칼텍스,일반
A0000154,G500_1885_3936,942500,1968000,126.85046516,37.71204426,경기,S-OIL,일반
A0000156,G500_1925_3945,962500,1972500,127.07713911,37.75363476,경기,SK에너지,일반
A0000157,G500_1967_3882,983500,1941000,127.31622861,37.47032535,경기,SK에너지,일반
A0000158,G500_1896_3903,948000,1951500,126.91403186,37.56365731,서울,GS칼텍스,일반
A0000159,G500_1896_3903,948000,1951500,126.91403186,37.56365731,서울,HD현대오일뱅크,셀프
A0000160,G500_2240_3957,1120000,1978500,128.86590806,37.80055358,강원,GS칼텍스,일반
A0000161,G500_1889_3900,944500,1950000,126.87451628,37.5499344,서울,SK에너지,일반
A0000163,G500_1901_3899,950500,1949500,126.94247256,37.5457681,서울,SK에너지,일반
A0000164,G500_1895_3902,947500,1951000,126.90840625,37.55912253,서울,SK에너지,일반
A0000166,G500_1898_3902,949000,1951000,126.925389,37.5592064,서울,HD현대오일뱅크,일반
A0000167,G500_1895_3904,947500,1952000,126.90833497,37.56813561,서울,SK에너지,일반
A0000169,G500_1895_3903,947500,1951500,126.90837061,37.56362907,서울,HD현대오일뱅크,셀프
A0000171,G500_1902_3898,951000,1949000,126.94816571,37.5412881,서울,SK에너지,일반
A0000173,G500_1899_3900,949500,1950000,126.93111846,37.55022068,서울,HD현대오일뱅크,셀프
A0000174,G500_1896_3903,948000,1951500,126.91403186,37.56365731,서울,S-OIL,일반
A0000176,G500_1898_3902,949000,1951000,126.925389,37.5592064,서울,HD현대오일뱅크,일반
A0000177,G500_1897_3902,948500,1951000,126.91972808,37.55917872,서울,SK에너지,일반
A0000178,G500_1898_3907,949000,1953500,126.92521586,37.58173916,서울,S-OIL,셀프
A0000180,G500_1898_3865,949000,1932500,126.92666426,37.39246127,경기,S-OIL,셀프
A0000181,G500_1848_3914,924000,1957000,126.64173301,37.61156475,서울,GS칼텍스,일반
A0000182,G500_1901_3899,950500,1949500,126.94247256,37.5457681,서울,S-OIL,셀프
A0000183,G500_1862_3549,931000,1774500,126.73751668,35.96707263,전북,HD현대오일뱅크,일반
A0000184,G500_1850_3882,925000,1941000,126.65469172,37.46744468,인천,SK에너지,일반
A0000185,G500_1969_3455,984500,1727500,127.33175541,35.5456112,전북,HD현대오일뱅크,일반
A0000187,G500_1924_4011,962000,2005500,127.06973509,38.05103653,경기,SK에너지,일반
A0000189,G500_1914_3919,957000,1959500,127.01546828,37.63622463,서울,HD현대오일뱅크,셀프
A0000190,G500_1905_3833,952500,1916500,126.96722205,37.24842958,경기,자가상표,셀프
A0000191,G500_1895_3904,947500,1952000,126.90833497,37.56813561,서울,SK에너지,일반
A0000192,G500_1934_3527,967000,1763500,127.13722266,35.86977062,전북,S-OIL,일반
A0000197,G500_2172_3495,1086000,1747500,128.45362977,35.72227965,대구,HD현대오일뱅크,일반
A0000198,G500_1924_3920,962000,1960000,127.07211127,37.64095035,서울,SK에너지,일반
A0000199,G500_1961_3779,980500,1889500,127.2836327,37.00604663,경기,GS칼텍스,일반
A0000200,G500_1906_3900,953000,1950000,126.97074044,37.55040493,서울,GS칼텍스,일반
A0000201,G500_1923_3964,961500,1982000,127.06528598,37.83921653,경기,HD현대오일뱅크,일반
A0000202,G500_1912_3896,956000,1948000,127.00482166,37.53252575,서울,GS칼텍스,일반
A0000205,G500_1912_3899,956000,1949500,127.00473224,37.54604565,서울,SK에너지,일반
A0000206,G500_1910_3894,955000,1947000,126.99356464,37.52346448,서울,SK에너지,일반
A0000211,G500_1905_3894,952500,1947000,126.96527326,37.52333977,서울,SK에너지,일반
A0000212,G500_1905_3894,952500,1947000,126.96527326,37.52333977,서울,GS칼텍스,일반
A0000215,G500_1900_3862,950000,1931000,126.93806193,37.3789954,경기,GS칼텍스,셀프
A0000216,G500_2086_3401,1043000,1700500,127.97571276,35.30133915,경남,SK에너지,셀프
A0000217,G500_1910_3864,955000,1932000,126.99447549,37.38826375,경기,HD현대오일뱅크,일반
A0000218,G500_2089_3892,1044500,1946000,128.00637445,37.51445119,강원,GS칼텍스,일반
A0000219,G500_1910_3894,955000,1947000,126.99356464,37.52346448,서울,SK에너지,일반
A0000221,G500_1905_3894,952500,1947000,126.96527326,37.52333977,서울,SK에너지,일반
A0000223,G500_1906_3900,953000,1950000,126.97074044,37.55040493,서울,SK에너지,일반
A0000225,G500_1905_3897,952500,1948500,126.96517673,37.53685961,서울,GS칼텍스,일반
A0000228,G500_1912_3897,956000,1948500,127.00479186,37.53703239,서울,SK에너지,일반
A0000229,G500_1912_3899,956000,1949500,127.00473224,37.54604565,서울,HD현대오일뱅크,일반
A0000230,G500_1902_3897,951000,1948500,126.94819892,37.5367815,서울,HD현대오일뱅크,셀프
