brand,facility_type_raw,name,address,lon,lat,facility_type,source_path,geocode_source,geocode_status,facility_id,coord_valid
sk,대리점,(유)흥진유화,전남 여수시 화양면 창무리 303-2번지,127.62212364747876,34.73278975916557,agency,/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/z_pa_facility/final/facility_data.csv,geocode_api_gimi9,ok,F000023,True
sk,대리점,(이천)우성LPG충전소,경기도 이천시 부발읍 신원리 558-54,127.50377944412486,37.28969543000549,agency,/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/z_pa_facility/final/facility_data.csv,geocode_api_gimi9,ok,F000024,True
sk,대리점,(자)유한가스,대전광역시 중구 중촌동 198-1,127.40451502632126,36.34678224223119,agency,/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/z_pa_facility/final/facility_data.csv,geocode_api_gimi9,ok,F000025,True
sk,대리점,(주) 중앙에너비스 삼중가스,서울시 금천구 독산2동 1059,126.89828420693884,37.46186055103739,agency,/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/z_pa_facility/final/facility_data.csv,geocode_api_gimi9,ok,F000026,True
sk,대리점,(주)가야유통 장유고속충전소,경남 김해시 장유면 부곡리 53-1,,,agency,/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/z_pa_facility/final/facility_data.csv,geocode_api_naver,Naver 결과 없음,F000027,False
sk,대리점,(주)건화 화림충전소,경기도 포천군 소홀읍 이동교리 562-1,127.11991678516053,37.78176647903538,agency,/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/z_pa_facility/final/facility_data.csv,geocode_api_gimi9,ok,F000028,True
sk,대리점,(주)고속도로관리공단 홍성(상),충남 홍성군 은하면 금국리 292-4,126.58232014093444,36.55210049577961,agency,/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/z_pa_facility/final/facility_data.csv,geocode_api_gimi9,ok,F000029,True
sk,대리점,(주)교하에너지,경기도 파주시 교하읍 당하리 303,,,agency,/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/z_pa_facility/final/facility_data.csv,geocode_api_naver,Naver 결과 없음,F000030,False
sk,대리점,(주)그린피아충전소,경기도 과천시 갈현동 313-7,126.97982580495014,37.41082551736943,agency,/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/z_pa_facility/final/facility_data.csv,geocode_api_gimi9,ok,F000031,True
sk,대리점,(주)남양가스,서울시 양천구 신월동 998-4,126.8374162070733,37.52069969966362,agency,/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/z_pa_facility/final/facility_data.csv,geocode_api_gimi9,ok,F000032,True
