상표,대상,경도,위도
sk,공장,129.35661964520776,35.49869194754371
sk,저유소,126.61183335022396,35.97560249664937
sk,저유소,128.75806671387576,35.88072456196446
sk,저유소,127.49704843128715,36.34504479746715
sk,저유소,127.4260627562744,36.40447097987403
sk,저유소,129.15068973869035,37.48337783687238
sk,저유소,128.57041132586087,35.174425628832424
sk,저유소,126.43245983298615,34.77644337710519
sk,저유소,127.03195876511457,37.45512219154156
sk,저유소,127.8950128,37.3542533
sk,저유소,126.60451087910675,37.44821752468298
sk,저유소,127.05173043178657,35.93053843541769
sk,저유소,126.54867149610926,33.50502251719687
sk,저유소,127.73694246866472,37.84371922550029
sk,저유소,129.3750266,36.046857
sk,저유소,126.79183063227896,35.188040852375984
sk,대리점,128.4354423,35.7011549
sk,대리점,128.9896508151914,35.14082749117649
sk,대리점,128.86656739290703,35.28340979171353
sk,대리점,128.51563379794672,35.247472348371595
sk,대리점,126.464282987694,36.76653580736578
sk,대리점,127.62212364747876,34.73278975916557
sk,대리점,127.50377944412486,37.28969543000549
sk,대리점,127.40451502632126,36.34678224223119
sk,대리점,126.89828420693884,37.46186055103739
sk,대리점,127.11991678516053,37.78176647903538
sk,대리점,126.58232014093444,36.55210049577961
sk,대리점,126.97982580495014,37.41082551736943
sk,대리점,126.8374162070733,37.52069969966362
sk,대리점,127.83659121023844,37.0219473620832
sk,대리점,126.87548742248936,37.97171186914077
sk,대리점,127.3764320381584,36.28273770114727
sk,대리점,126.93384305366877,35.166777438695384
sk,대리점,126.83178862250146,37.53122276431949
sk,대리점,127.05552869113946,37.67135419505056
sk,대리점,127.01843479051772,37.236066900032576
sk,대리점,126.86481804755,35.600723818587504
sk,대리점,127.12279818642196,37.57406321618857
sk,대리점,126.9030133716334,37.69699054575087
sk,대리점,127.03120874591346,37.51377709027071
sk,대리점,126.85483820179684,37.58172700778952
sk,대리점,128.05782829625957,35.70590348371937
sk,대리점,126.7453695,37.3862375
sk,대리점,126.9971518,37.5622375
sk,대리점,129.13767171634447,35.59485211367015
sk,대리점,126.82187115268556,37.60398548774062
sk,대리점,127.0545220090284,37.85643633065991
sk,대리점,127.7661678,37.8107864
sk,대리점,127.0606334916454,37.61326405529604
sk,대리점,127.0359512660034,37.49058513705993
sk,대리점,129.04019060530393,35.084897037649675
sk,대리점,127.36965587550992,36.30638716032289
sk,대리점,126.81695643874208,37.53431965525977
sk,대리점,127.10289214222888,37.32118196024253
sk,대리점,127.17292899294593,37.23951343744866
sk,대리점,127.0410321786594,37.59105244943876
sk,대리점,127.0348993,37.2933153
sk,대리점,127.19947953510857,36.207793321408666
sk,대리점,126.69066407136636,37.46632649654978
sk,대리점,126.96735971342036,36.8295644709511
sk,대리점,126.9351551069771,36.27815890184307
sk,대리점,126.8805706,37.5473741
sk,대리점,128.21462159727278,36.61238449650035
sk,대리점,127.12096144855752,37.782962172490365
sk,대리점,126.8127340414878,37.563976359199785
sk,대리점,127.54604774151944,37.70186842228289
sk,대리점,127.5418919,37.7040939
sk,대리점,126.84984604822804,35.154949239970065
sk,대리점,126.8124659492658,37.57836016819873
sk,대리점,126.73725380114792,37.53525586641
sk,대리점,126.944103328692,35.931792318996145
sk,대리점,127.00631367708732,37.536121888546354
sk,대리점,128.11752425820734,35.17099891761018
sk,대리점,126.9589164,37.4791671
sk,대리점,126.95916452593708,37.47909143314145
sk,대리점,127.06816324163762,37.26792330294504
sk,대리점,126.93460187638992,36.28034688594487
sk,대리점,127.56895501952933,36.78897928104392
sk,대리점,126.38731958541958,36.61919380564744
sk,대리점,127.01102620448556,36.15107684523861
sk,대리점,126.98871252648075,37.26024245419104
sk,대리점,129.2863354661734,35.83546553337337
sk,대리점,129.3811601352101,36.00279593213594
sk,대리점,128.66309387445904,35.88283620492623
sk,대리점,128.1176363157869,36.13048480947312
sk,대리점,128.6007814,35.8696195
sk,대리점,128.6007814,35.8696195
sk,대리점,128.60457465572912,35.21825505409022
sk,대리점,127.2083013,37.532259
sk,대리점,127.64302607716468,35.81228868860064
sk,대리점,126.66230954266516,37.66193422383117
sk,대리점,127.1176208198214,36.96571736050754
sk,대리점,127.18611295064824,37.56626256122118
sk,대리점,127.22595737120194,37.768279121674986
sk,대리점,127.2046676574668,37.1408292698527
sk,대리점,128.6445159001514,35.23174236891216
sk,대리점,128.6085932,35.2631201
sk,대리점,128.5214432,35.4447137
sk,대리점,128.999424,35.201677
sk,대리점,128.9931599071077,35.19452282454843
sk,대리점,127.44865401652436,37.08405135852318
sk,대리점,127.9602008951564,36.8318140710887
sk,대리점,127.0218501309219,37.63433081960051
sk,대리점,127.10191368481584,37.36802878752146
sk,대리점,126.5414086550146,33.50854713326887
sk,대리점,126.86631334991408,37.45433834601759
sk,대리점,126.80094050335288,37.34357061642099
sk,대리점,127.50307638891854,36.1022640663526
sk,대리점,127.0801540686223,37.75646667101574
sk,대리점,126.8992734,37.5360537
sk,대리점,126.9143566,36.9429788
sk,대리점,126.67046489581682,37.65448388089218
sk,대리점,126.53239162006535,37.72824035533957
sk,대리점,128.27904685755644,35.26593356867316
sk,대리점,128.63371123061552,35.237885112050165
sk,대리점,127.14996223473182,36.7813286309861
sk,대리점,128.72347295847123,35.827512144719066
sk,대리점,126.90205176717328,37.48430545995315
sk,대리점,128.31969288746592,35.857983127434345
sk,대리점,127.0176161,37.2415716
sk,대리점,128.092826651284,35.17494703132792
sk,대리점,126.85483311942374,37.22520055483028
sk,대리점,126.7182836,36.8941384
sk,대리점,127.19817088022548,35.77864147820235
sk,대리점,127.1418936,37.4388178
sk,대리점,126.99940102456046,37.50021635083864
sk,대리점,129.34589499641882,35.63583150435249
sk,대리점,129.3436474,35.5270321
sk,대리점,129.2938837398605,35.54439284287658
sk,대리점,129.3444997,35.6373738
sk,대리점,126.83453302684936,37.5718245102266
sk,대리점,127.8101881570006,36.16841547325579
sk,대리점,128.70561200198844,36.54912202753664
sk,대리점,127.04119685812246,37.55411926469479
sk,대리점,129.34594507568184,36.010284352994155
sk,대리점,126.5583944,36.3722249
sk,대리점,126.56056116668285,36.329096879779286
sk,대리점,127.0206432164073,37.23158708094832
sk,대리점,126.84721634937252,37.529776762184056
sk,대리점,127.25071482467864,37.60317375786035
sk,대리점,127.10170778665108,37.04426507334077
sk,대리점,127.15243952055296,36.8328983723194
sk,대리점,126.9989375,37.48117
sk,대리점,128.5474722345492,36.005499577694025
sk,대리점,129.06297275408588,35.14086850303989
sk,대리점,127.0382868533432,37.14574249027838
sk,대리점,127.03204426540356,37.60277969782159
sk,대리점,127.09194480217867,37.02361615960824
sk,대리점,127.207326250563,37.158025886109016
sk,대리점,127.07054621461587,37.497125331717726
sk,대리점,126.92877698912228,37.49949935815922
sk,대리점,127.0606835943693,36.95456262616118
sk,대리점,127.12554349410564,36.82484923766899
sk,대리점,127.18075724271534,36.85352476030111
sk,대리점,127.7188509984666,37.11167189617257
sk,대리점,127.02841192484536,37.86005760904268
sk,대리점,126.85618924567513,37.397922551387815
sk,대리점,126.86405328345208,37.52577771604923
sk,대리점,129.04732746113066,35.12672467873657
sk,대리점,126.76945304381212,37.52618463825637
sk,대리점,126.9886632256098,37.31754355849326
sk,대리점,126.7806948649849,37.70104876117014
sk,대리점,127.02358847185285,37.57503852109825
sk,대리점,126.95992997189444,37.39465498914804
sk,대리점,129.0547672,35.3201507
sk,대리점,127.40736766296077,36.34717850860188
sk,대리점,127.4564765,37.5051511
sk,대리점,127.27475232016636,37.84104856443965
sk,대리점,127.04393948089292,37.524796437451016
sk,대리점,126.51118240603516,33.50046292091119
sk,대리점,126.51118240603516,33.50046292091119
sk,대리점,126.94340157477464,37.20788334869076
sk,대리점,127.1033092,35.837844
sk,대리점,127.17822073876016,36.8442136592201
sk,대리점,128.53810242597362,35.878184534269984
sk,대리점,127.1930559020987,37.60421640938181
sk,대리점,127.06694077083432,37.64907958040904
sk,대리점,127.00812546057364,37.5619866851824
sk,대리점,126.99552240159754,37.47302385967237
sk,대리점,128.24744973393928,36.27890954563634
sk,대리점,128.25168762239795,36.27457356616553
sk,대리점,126.66218926053445,37.49882879417553
sk,대리점,127.01776550201684,37.23864070176865
sk,대리점,126.62609467052094,36.37051006795851
sk,대리점,126.65254553576716,36.60522155552915
sk,대리점,127.86855805331366,36.44667336881517
sk,대리점,126.98818088309024,37.722701728467136
sk,대리점,127.10279416639254,36.04775309921941
sk,대리점,127.12495166160782,37.44933088919458
sk,대리점,126.58243896490886,36.8372990142834
sk,대리점,126.98997715937816,37.25499278122536
sk,대리점,126.76106242336004,37.33463001321372
sk,대리점,127.44069745544496,36.65423211466535
sk,대리점,127.071964,37.6308037
sk,대리점,126.94980994242404,37.37111853939308
sk,대리점,126.74518212188484,36.88532372573436
sk,대리점,128.57039185230536,35.19639031690696
sk,대리점,126.79973039093126,37.7286985732544
