기간,경유(0.001%)
26년06월11일,138.17
26년06월12일,127.23
26년06월13일,
26년06월14일,
26년06월15일,120.64
26년06월16일,116.96
26년06월17일,115.44
26년06월18일,112.93
26년06월19일,113.49
26년06월20일,
26년06월21일,
