기간,휘발유(95RON),휘발유(92RON),등유,경유(0.001%),경유(0.05%),고유황중유(180cst/3.5%),나프타
26년06월18일,104.87,101.82,112.11,112.93,110.87,71.9,70.94
26년06월19일,106.38,104.39,112.22,113.49,111.91,73.57,71.6
