기간,휘발유(95RON),휘발유(92RON),등유,경유(0.001%),경유(0.05%),고유황중유(180cst/3.5%),나프타
26년06월12일,113.23,110.17,127.29,127.23,125.14,87.24,74.64
26년06월13일,,,,,,,
26년06월14일,,,,,,,
26년06월15일,108.41,105.35,118.64,120.64,118.56,81.23,71.36
26년06월16일,107.86,104.81,115.61,116.96,114.9,77.17,70.24
26년06월17일,105.35,102.31,115.78,115.44,113.38,73.54,71.33
