기간,Dubai,Brent,WTI
26년06월11일,88.57,90.38,87.71
26년06월12일,83.18,87.33,84.88
26년06월15일,78.9,83.17,80.75
26년06월16일,73.19,78.96,76.05
26년06월17일,73.91,79.55,76.79
26년06월18일,73.09,79.85,76.6
26년06월19일,73.61,80.57,
