상표,구분,이름,주소
gs,대리점,㈜삼립식품 김천(부산방향)충전,경북 김천시 농소면 신촌리 730-2
gs,대리점,㈜삼립식품 진주(부산방향)충전,경상남도 진주시 호탄동 382외 62필지
gs,대리점,㈜삼립식품 황전(전주방향)주유,전남 순천시 황전면 선변리 595-6
gs,대리점,㈜삼융만남의충전소,충남 천안시 서북구 직산읍 군서리 293-2외
gs,대리점,㈜삼표에너지,서울시 은평구 증산동 223-15
gs,대리점,㈜새한강에너지,경기 양평군 옥천면 옥천리 931-2
gs,대리점,㈜서호유류판매 동행충전소,경기도 파주시 교하읍 교하리 70-14외
gs,대리점,㈜소모석유,경기도 용인시 기흥구 보정동 1278 죽전크린주유소 內
gs,대리점,㈜소모석유 우정충전소,경기도 화성시 우정읍 이화리 179-26
gs,대리점,㈜소모석유 칠곡충전소,경기도 안성시 원곡면 칠곡리 613
gs,대리점,㈜소모석유뉴양주충전소,경기도 양주시 남면 매곡리 58-1
gs,대리점,㈜소모홀딩스엔테크놀러지분당충,경기도 성남시 분당구 구미동 194
gs,대리점,㈜소모홀딩스엔테크놀러지현대충,광주광역시 남구 주월동 957-30
gs,대리점,㈜아이피 호평충전소,경기 남양주시 호평동 23-26
gs,대리점,㈜영진에너지,전라남도 영광군 영광읍 녹사리 69-3
gs,대리점,㈜운화가스충전소,울산광역시 울주군 온양읍 운화리 212
gs,대리점,㈜원산가스ENG,경기 안산시 상록구 월피동 466-4
gs,대리점,㈜유성티엔에스 서여주(마산방향,경기도 여주군 능서면 매류리 1-6
gs,대리점,㈜유성티엔에스 서여주(양평방향,경기도 여주군 능서면 매류리 1-14
gs,대리점,㈜조이에너지 광혜원충전소,충청북도 진천군 광혜원면 광혜원리 710-4
gs,대리점,㈜창원충전소 극동충전소,경상남도 마산시 회원구 석전동 260-1
gs,대리점,㈜청정희망찬충전소,전남 광양시 성황동 567
gs,대리점,㈜케이알산업,충청남도 금산군 군북면 외부리 721-3
gs,대리점,㈜케이알산업,충청북도 청원군 옥산면 사정리 449-7외3
gs,대리점,㈜티엔에프하이웨이충전소,경상남도 밀양시 산내면 송백 1060-5
gs,대리점,㈜한길에너지,전남 장성군 남면 삼태리 521-26
gs,대리점,㈜한길에너지 가현충전소,강원도 원주시 가현동 369-7
gs,대리점,㈜한미석유,서울시 서초구 서초동 1536-15 서초꽃마을주유소 3층
gs,대리점,㈜해성에너지 공룡LPG충전소,경남 고성군 회화면 남해안대로 4029
gs,대리점,㈜해연,부산광역시 금정구 회동동 164
gs,대리점,㈜휴세코 일산지점,경기도 고양시 일산서구 덕이동304-4
gs,대리점,갑천(상)LPG충전소,대전광역시 대덕구 신대동 426
gs,대리점,강구LPG충전소,경상북도 영덕군 강구면 삼사리 41
gs,대리점,강동LPG충전소,경북 구미시 구평동 152-2
gs,대리점,강동엘피지충전소,서울특별시 송파구 잠실1동 336-9
gs,대리점,강릉 충전소,강원도 강릉시 포남1동 1005-274
gs,대리점,강변LPG충전소,충청남도 공주시 장기면 장암리 418
gs,대리점,강북LPG충전소,경북 칠곡군 동명면 봉암리 554-1
gs,대리점,개인택시복지충전소,울산광역시 북구 진장동 110-3
gs,대리점,거성LPG,전라남도 광양시 광양읍 용강리 230-5
gs,대리점,경서 충전소,"인천광역시 서구 경서동 350-11,12,13"
gs,대리점,경일석유㈜,서울시 서초구 서초동 1307-20 경일빌딩 2층
gs,대리점,경풍충전소,경상북도 칠곡군 왜관읍 금남리 165-5
gs,대리점,고령LPG충전소,경상북도 칠곡군 고령읍 고아리 134-16
gs,대리점,고성LPG충전소,경상남도 고성군 고성읍 이당리 638-811
gs,대리점,고창고인돌(상)LPG충전소,전라북도 고창군 신림면 벽송리 598-5
gs,대리점,공단가스충전소,강원도 동해시 구호동 240
gs,대리점,공항로충전소,서울특별시 강서구 등촌동 269-8
gs,대리점,광산업단지충전소,광주 북구 월충동 산64번지
gs,대리점,광주공항충전소,광주 광산구 우산동 179-9
gs,대리점,광진에너지주식회사,경상남도 진주시 내동면 독산리 582-2
gs,대리점,광천 LPG 충전소,충청남도 홍성군 광천읍 신진리 208-13
gs,대리점,구갈충전소,경기도 용인시 기흥구 구갈동 205-1
gs,대리점,구상에너지㈜,대구광역시 달서구 월암동 1107-2/3
gs,대리점,구성그린LPG충전소,경기도 용인시 처인구 구성면 마북리 502-146
gs,대리점,구이LPG충전소,전라북도 완주군 구이면 항가리 산144-1
gs,대리점,군포충전소,경기도 군포시 부곡동 230-1
gs,대리점,그랑프리충전소,전북 전주시 완산구 상림동 67-28
gs,대리점,그린LPG충전소,전라남도 여수시 여천동 919-1
gs,대리점,극동유화㈜,부산광역시 사상구 감전동 507-13
gs,대리점,금광충전소,경상남도 김해시 풍류동 224-1
gs,대리점,금성LPG충전소,전라남도 고흥군 과역면 석봉리 1238-5
gs,대리점,금촌엘피지(주),경기도 파주시 금촌동 466-114
gs,대리점,금파충전소,경기 김포시 걸포동 390-2
gs,대리점,김천LPG충전소,경상북도 김천시 백옥동 169-1
gs,대리점,나들목충전소,경상북도 김천시 부곡동 491-10
gs,대리점,남경LPG충전소,대구 북구 금호동 219
gs,대리점,남동충전소,인천광역시 남동구 남촌동 211-33
gs,대리점,남산가스,경상북도 경주시 배동 610
gs,대리점,남서울가스,서울특별시 강남구 대치동 21-1
gs,대리점,남선LPG충전소,경기도 수원시 권선구 서둔동 79-25
gs,대리점,남춘천충전소,강원도 춘천시 신동면 정족리 707-5
gs,대리점,내수LPG충전소,충청북도 청원군 내수읍 묵방리 380번지
gs,대리점,내장가스충전소,전라북도 정읍시 금붕동 764-1번지
gs,대리점,뉴서성,대전광역시 대덕구 상서동 441외 3필지
gs,대리점,뉴타운충전소,경기도 고양시 덕양구 지축동 81-12
gs,대리점,늘푸른충전소,경기도 포천시 영중면 성동리 639
gs,대리점,늘푸른충전소(경주),경상북도 경주시 현곡면 라원리 1731-48
gs,대리점,늘푸른충전소(청도),경북 청도군 화양읍 범곡리 392-9
gs,대리점,다부LPG충전소,경상북도 칠곡군 동명면 학명리 665-8외3필지
gs,대리점,다정가스충전소,경상남도 남해군 이동면 초음리 1579-1
gs,대리점,달성LPG충전소,대구광역시 달성군 현풍면 성하리 100외 3필지
gs,대리점,대경LPG가스충전소,경상북도 경산시 와촌면 강학리 484
gs,대리점,대경석유㈜동해(상),강원도 동해시 망상동 산 3-1
gs,대리점,대광엘피지충전소,경상북도 김천시 대광동 869-2
gs,대리점,대구개인택시조합제1 충전소,"대구광역시 수성구 중동 7-1,2"
gs,대리점,대동LPG충전소,경상북도 포항시 남구 효자동 381
gs,대리점,대동가스,광주광역시 서구 매월동 578-1
gs,대리점,대동가스산업（주）,경상남도 거제시 두모동 475-1
gs,대리점,대보유통㈜ 화성(상)충전소,경기도 화성시 팔탄면 덕천리 102-1
gs,대리점,대보유통㈜남성주(마산)충전소,경상북도 성주군 선남면 명포리 880-5
gs,대리점,대보유통㈜단양(부산)주유소,충청북도 단양군 적성면 기동리 산 74-1
gs,대리점,대보유통㈜지리산(옥포)충전소,전라북도 남원시 아영면 아곡리 86-9
gs,대리점,대보유통㈜추풍령(서울)충전소,경상북도 김천시 봉산면 광천리 180-2
gs,대리점,대상LPG충전소,전라남도 여수시 율촌면 취적리 1029-6
gs,대리점,대성산업 경춘충전소,경기도 구리시 인창동 280-3
gs,대리점,대성산업 곤지암충전소,경기도 광주시 실촌읍 삼리 612-8
gs,대리점,대성산업 동부충전소,서울시 성동구 성수동２가 284-108
gs,대리점,대성산업 성남충전소,경기도 성남시 중원구 하대원동 216-15
gs,대리점,대성산업 오류동충전소,서울시 구로구 오류2동 74-8
gs,대리점,대성산업 의정부충전소,경기도 의정부시 의정부3동 385-2
gs,대리점,대성산업㈜,서울 구로구 신도림동 692 디큐브시티 16층
gs,대리점,대성산업㈜ 대성연기충전소,충남 연기군 전의면 유천리 산 85-6
gs,대리점,대성산업㈜ 포항지사,경상북도 포항시 남구 해도동 99-2
gs,대리점,대성산업㈜_대구 가스사업부,대구시 북구 칠성동 2가 67의1
gs,대리점,대성산업㈜구마충전소,대구광역시 달서구 본리동 658-4
gs,대리점,대성산업㈜낙동강충전소,경북 안동시 용상동 1432-2
gs,대리점,대성산업㈜대구석유가스사업부,대구광역시 북구 칠성동 2가 67-1
gs,대리점,대성산업㈜부산대성충전소,부산광역시 사상구 덕포2동 394-4
gs,대리점,대성산업㈜안동지사,경상북도 안동시 남후면 무릉리 209
gs,대리점,대성산업㈜안동충전소,경상북도 안동시 수상동 820-49
gs,대리점,대성산업㈜포항가스충전소,경상북도 포항시 남구 해도동 99-2
gs,대리점,대성석유㈜,충북 제천시 동현동 200-2
gs,대리점,대성석유㈜-서울영업소,서울 강서구 등촌동 684 대성주유소 2층
gs,대리점,대성석유제천충전소,충청북도 제천시 동현동 200-2
gs,대리점,대성지주 죽암(상)충전소,충청북도 청원군 현도면 죽진리 48-1
gs,대리점,대송가스충전소,경상북도 포항시 남구 대송면 제내리 767
gs,대리점,대신석유가스（주）,부산광역시 사하구 신평동 370-53
gs,대리점,대양산업㈜,부산시 동구 범일5동 252
gs,대리점,대양산업㈜-서울지사,서울시 종로구 사직동 262-85
gs,대리점,대양산업㈜대양울산충전소,울산광역시 남구 여천동 1000-1
gs,대리점,대영에너지진천지점,충청북도 진천군 진천읍 상신리 396-15
gs,대리점,대촌LPG충전소,광주광역시 남구 압촌동 354-9외3필지
gs,대리점,대풍엘피가스,경상남도 진주시 가좌동 1011-5
gs,대리점,대한통운㈜,서울시 중구 서소문동 58-12
gs,대리점,대호석유㈜,부산시 남구 용당동 406-16
gs,대리점,동광에너지,충청북도 청주시 흥덕구 지동동 764-5
gs,대리점,동구타이어유류,경기도 이천시 신둔면 용면리 86-1
gs,대리점,동대구가스,대구광역시 수성구 만촌동 416-8
gs,대리점,동산LPG충전소,전라북도 전주시 덕진구 동산동 501-1
gs,대리점,동수원톨게이트충전소,경기도 수원시 팔달구 이의동 432-1
gs,대리점,동아LPG,"경기도 고양시 덕양구 대자동 36, 37"
gs,대리점,동양가스산업(주)기장충전소,부산광역시 기장군 기장읍 청강리 15-1
gs,대리점,동양가스산업㈜초량충전소,부산광역시 동구 초량동 1157-10
gs,대리점,동양산업㈜,인천시 중구 사동 24-10
gs,대리점,동원가스충전소,서울특별시 도봉구 창동 643-2
gs,대리점,동일유업(주)모현충전소,전북 익산시 모현동2가 22-6
gs,대리점,동일유업㈜,전북 익산시 동산동 602-1
gs,대리점,동일유업㈜동산충전소,전라북도 익산시 동산동 1003-1
gs,대리점,동진가스,경상남도 산청군 신안면 하정리 651-3
gs,대리점,동진충전소,경상북도 영주시 상망동 625-17
gs,대리점,동탄뉴타운충전소,경기도 화성시 동탄면 장지리 194-5
gs,대리점,동학사충전소,대전광역시 유성구 갑동 403-1
gs,대리점,동홍충전소,제주 서귀포시 동홍동 1706
gs,대리점,동화가스（주）,광주광역시 북구 각화동 208-1
gs,대리점,동화가스（주）여수직매장,전라남도 여수시 연등동 716-2
gs,대리점,두성식품㈜함양휴게소,경남 함양군 지곡면 보산리 산110-1
gs,대리점,두원에너지,경기도 화성군 비봉면 쌍학리 304
gs,대리점,마라톤가스 주식회사,부산 사하구 장림동 1046
gs,대리점,마라톤가스㈜,부산광역시 사상구 삼락동 361-2
gs,대리점,만남의충전소,경기도 연천군 전곡읍 전곡리 159-4
gs,대리점,만남의충전소,전라북도 전주시 덕진구 호성동1가 428외3필지
gs,대리점,만남충전소,경상남도 김해시 풍류동 707-1/707-11
gs,대리점,만사형통충전소,충북 충주시 금릉동 421-1
gs,대리점,만천LPG충전소,강원도 춘천시 동면 만천리 505
gs,대리점,만화가스충전소,부산광역시 기장군 기장읍 만화리 331-1
gs,대리점,매일가스충전소,광주광역시 북구 용전동 1223-7외1필지
gs,대리점,명성에너지,경상남도 진주시 성평동 231-8
gs,대리점,명품충전소,경기도 파주시 적성면 마지리115
gs,대리점,목천IC충전소,충남 천안시 동남구 목천읍 운전리402-27
gs,대리점,무주엘피지충전소,전라북도 무주군 무주읍 오산리 877-1
gs,대리점,문의IC LPG충전소,충북 청원군 문의면 남계리 179-14/18
gs,대리점,문화가스충전소,경상북도 구미시 원평동 535-10
gs,대리점,반월가스공업,경기도 안산시 상록구 사사동 142-1
gs,대리점,반월성가스충전소,경기도 이천시 설성면 제요리 산526-4
gs,대리점,발안LPG충전소(주)대야에너지,경기도 화성군 향남면 발안리 27-31
gs,대리점,방동엘피지충전소,대전 유성구 방동 474-4
gs,대리점,백야충전소,충청남도 홍성군 갈산면 상촌리 405-2
gs,대리점,백제가스,전라남도 장성군 장성읍 영천리 1496-1
gs,대리점,보령가스충전소,충청남도 보령시 명천동 624-1
gs,대리점,보령물산(주)황간하충전소,충청북도 영동군 황간면 회포리 산1-9
gs,대리점,보성가스충전소,경상남도 진주시 이현동 686-1외5필지
gs,대리점,복지신정충전소,서울특별시 양천구 신정동162-19외 2필지
gs,대리점,부일석유㈜,부산시 해운대구 우1동 1434 선프라자 6층 612호
gs,대리점,부평로충전소,인천광역시 부평구 갈산동 185-10
gs,대리점,북수원톨게이트충전소,경기도 수원시 장안구 파장동 170-1외
gs,대리점,북이천충전소,경기도 이천시 관고동107
gs,대리점,분당GS충전소,경기도 성남시 분당구 궁내동 302-8
gs,대리점,비봉충전소,경기도 안성시 죽산면 장능리 산 6
gs,대리점,비케이에너지㈜동양가스충전소,부산광역시 북구 덕천동 547-2
gs,대리점,삼경가스（주）,대전광역시 중구 산성동 166-1
gs,대리점,삼경석유㈜대경가스충전소,경기도 화성시 송산면 삼존리 773 775-1/ 775-2
gs,대리점,삼광충전소,제주특별자치도 제주시 화북2동 3255-1
gs,대리점,삼남석유㈜,제주 제주시 용담1동 265-4
gs,대리점,삼랑진충전소,경남 밀양시 삼랑진읍 송지리 596
gs,대리점,삼상가스,경기도 평택시 세교동 447-1
gs,대리점,삼선가스（주）,충청북도 청주시 사창동 144-3
gs,대리점,삼영가스（주）,충청북도 청주시 용암동 681-3
gs,대리점,삼표에너지 삼표충전소,경기도 하남시 감북동 446-1
gs,대리점,삼표에너지 안양충전소,경기도 안양시 만안구 안양동 206-7
gs,대리점,삼호에너지,전라남도 영암군 삼호면 서창리 161-3
gs,대리점,상동성민충전소,경상남도 김해시 상동면 우계리 717-1
gs,대리점,상명에너지,전라북도 군산시 개정동 60-2
gs,대리점,상일충전소,서울특별시 강동구 상일동 443-5/443-7
gs,대리점,새동래충전소,부산광역시 연제구 거제1동 152-9
gs,대리점,새만금충전소,"전라북도 군산시 지곡동 2-6,7"
gs,대리점,새한가스,경기도 광주시 역동 산5-4
gs,대리점,샛별LPG충전소,경북 김천시 아포읍 아포대로 696
gs,대리점,서대산충전소,충남 금산 추부면 마전리 77-2
gs,대리점,서운가스충전소,인천광역시 계양구 서운동 149-6
gs,대리점,서울가스,인천 서구 가좌동 158-5
gs,대리점,서울개인택시조합 복지노원충전,서울 노원구 상계동 1205-4
gs,대리점,서일석유㈜,경기도 안양시 동안구 호계3동 966-24
gs,대리점,서일석유㈜ 기흥서일충전소,경기 용인시 기흥구 신갈동 357-2
gs,대리점,서일석유㈜ 비봉서일충전소,경기 화성시 비봉면 양노리 41-3
gs,대리점,서창LPG충전소,전라남도 영암군 삼호면 망산리 4-7
gs,대리점,서청주가스㈜,충북 청주시 흥덕구 향정동 85-1
gs,대리점,서해가스충전소,경기도 부천시 원미구 약대동 7-2외
gs,대리점,서흥엘피지,경상남도 사천시 축동면 배춘리 799-6
gs,대리점,성원이앤에스충전소,경기도 안성시 대덕면 모산리 359-19
gs,대리점,성일아스콘(주) 주유충전소,경기도 평택시 청룡동 40-1
gs,대리점,성환충전소,충청남도 천안시 성환읍 매주리 45
gs,대리점,세량LPG충전소,전남 화순군 화순읍 세량리 558-2
gs,대리점,세일가스,대전광역시 중구 옥계동 17-1
gs,대리점,세진에너지(주)보라지에스주유충,"경기도 용인시 기흥읍 보라리 376-6,12,15"
gs,대리점,세진에너지(주)월곶신도시주유충,경기도 시흥시 정왕동 1773
gs,대리점,세진에너지㈜안산느티나무충전소,"경기 안산시 선부동 169,170"
gs,대리점,소양엘피지(LPG)충전소,전라북도 완주군 소양면 황운리 804-12
gs,대리점,송리원충전소,경상북도 영주시 이산면 운문리 43-1
gs,대리점,송산가스충전소,충청북도 증평군 증평읍 송산리 84-1
gs,대리점,송월개발주식회사,경기도 수원시 권선구 서둔동 9-17
gs,대리점,송은LPG충전소,강원도 강릉시 사천면 미노리 443-1
gs,대리점,수안엘피지충전소,경기도 수원시 장안구 파장동 43-1
gs,대리점,시화충전소,경기도 시흥시 정왕동 1112
gs,대리점,신갈톨게이트엘피지충전소,경기도 용인시 처인구 기흥읍 영덕리 산 5-1
gs,대리점,신내충전소,서울특별시 중랑구 신내동 359-6
gs,대리점,신대한LPG,대구광역시 서구 평리동 1403-1
gs,대리점,신문혜충전소,강원도 철원군 갈말읍 문혜리 434-12
gs,대리점,신세기충전소,경상북도 성주군 선남면 도성리 803-1
gs,대리점,신안LPG충전소,충청남도 연기군 조치원읍 신안리 86-4
gs,대리점,신월lpg충전소,충청북도 제천시 신월동 769-1
gs,대리점,신일충전소,경기 수원시 권선구 탑동 452-1
gs,대리점,신창LPG충전소,광주광역시 광산구 신창동 1086-5
gs,대리점,신통영가스충전소,경남 통영시 용남면 원평리 779-225
gs,대리점,신한에너지,경기 용인시 처인구 삼가동 39-7
gs,대리점,신협제2LPG충전소,전라북도 전주시 덕진구 팔복동2가 10-1
gs,대리점,신화에너지 송능충전소,경기도 남양주시 진건읍 송능리 산23-5
gs,대리점,신흥가스충전소(보성),전라남도 보성군 보성읍 보성리 342번지
gs,대리점,썬LPG충전소,경기도 고양시 덕양구 화전동 757-6
gs,대리점,아산둔포충전소,충청남도 아산시 둔포면 둔포리 344
gs,대리점,안동하충전소,경상북도 안동시 풍산읍 계평리 산133-4
gs,대리점,안성맞춤(음성방향)충전소,경기 안성시 서운면 신능리 51-11
gs,대리점,안성맞춤(평택방향)충전소,경기 안성시 서운면 신능리 51-16
gs,대리점,안성맞춤LPG충전소,경기 안성시 당왕동 269-3
gs,대리점,암사충전소,서울특별시 강동구 암사 503의 30
gs,대리점,얀텍스산업(주)천안하충전소,충청남도 천안시 수신면 신풍리 348
gs,대리점,양덕스마일충전소,경북 포항시 북구 양덕동 824-1
gs,대리점,양산IC,경남 양산시 상북면 소토리 507-7
gs,대리점,양원리충전소,경기도 연천군 전곡읍 양원리 488-2
gs,대리점,양지충전소,광주광역시 광산구 소촌동 756-13
gs,대리점,에스제이상사국제충전소,전라북도 군산시 나운동 328-2
gs,대리점,에스제이상사군산공단충전소,전라북도 군산시 산북동 1363
gs,대리점,에이펙스충전소,경기도 용인시 처인구 이동면 송전리 산38-3
gs,대리점,여천가스충전소,전라남도 여수시 시전동 1112외 1필지
gs,대리점,연세에너지㈜법원충전소,경기도 파주시 법원읍 법원리 402-34
gs,대리점,연안가스,충청북도 보은군 보은읍 학림리 314
gs,대리점,영덕엘피지,경기도 용인시 처인구 기흥읍 영덕리 175-1
gs,대리점,영성LPG충전소,경상남도 사천시 정동면 고읍리 602-13
gs,대리점,영주가스충전소,경상북도 영주시 휴천1동 707-3
gs,대리점,영창가스충전소,경상남도 합천군 합천읍 영창리 467-12
gs,대리점,예산(당진방향)충전소,충남 예산군 신양면 서계양리 676-2
gs,대리점,예산(대전방향)충전소,충남 예산군 신양면 서계양리 663-3
gs,대리점,오람충전소,경기도 화성시 향남면 장짐리 85-16
gs,대리점,오생LPG충전소,충청북도 음성군 생극면 오생리 50-10
gs,대리점,오성가스충전소,경상북도 구미시 공단동 208
gs,대리점,오송LPG충전소,전북 전주시 덕진구 송천동2가 1202-2
gs,대리점,오일석유(주) 언양(상)충전소,울산광역시 울주군 언양읍 반곡리 966-8
gs,대리점,오창에너지(주),충북 청원군 오창읍 일신리 17-1
gs,대리점,오천LPG충전소,경상북도 포항시 남구 오천읍 구정리 275-8
gs,대리점,옥계LPG충전소,경상북도 구미시 옥계동 457- 7
gs,대리점,옥천LPG충전소,전라남도 구례군 구례읍 원방리 44-1
gs,대리점,옥천엘피지충전소,경상남도 하동군 고전면 신월리 산 118-4
gs,대리점,온양LPG충전소,울산광역시 울주군 온양읍 망양리 640
gs,대리점,용강LPG,경상북도 경주시 용강동 434
gs,대리점,용두엘피지충전소,경상북도 안동시 무릉리 522-1
gs,대리점,용이충전소,경북 상주시 낙동면 구잠리 512
gs,대리점,우리유통㈜여산(상)주유소-LPG,전라북도 익산시 여산면 호산리 210-8
gs,대리점,우리충전소,충북 제천시 산곡동 산42-3
gs,대리점,우일에너지 (주),서울특별시 성북구 하월곡동 88-681
gs,대리점,우주충전소,전라남도 고흥군 두원면 용반리 산 295-6
gs,대리점,울산가스충전소,울산광역시 울주군 언양읍 직동리 182-1
gs,대리점,원더풀 충전소,강원도 삼척시 오분동 126-3
gs,대리점,유양에너지,경기도 양주시 유양동 698-11
gs,대리점,유한회사동양엘피지,전라남도 순천시 가곡동 976-3
gs,대리점,융진상사,강원도 원주시 단계동 198-2
gs,대리점,익산LPG(한성),전라북도 익산시 금강동 951-3
gs,대리점,일진LPG충전소,전라북도 전주시 완산구 중인동 126
gs,대리점,임진강에너지,경기도 파주시 탄현면 낙하리 182-6/8
gs,대리점,장기충전소,인천 계양구 장기동 104-1
gs,대리점,장안동가스,서울특별시 동대문구 장안동 413-2
gs,대리점,장유LPG충전소,경상남도 김해시 장유 부곡 192
gs,대리점,전인석유㈜,전북 전주시 덕진구 팔복동 4가 160-1
gs,대리점,전주개인택시신용협동조합LPG충,전라북도 전주시 효자동 3가 844-3
gs,대리점,전주평화LPG충전소,전라북도 전주시 평화동3가 331-1
gs,대리점,정관가스충전소,부산광역시 기장군 정관 예림 329-4
gs,대리점,정림가스,대전광역시 서구 정림동 293-10
gs,대리점,정선LPG충전소,강원도 정선군 문곡리 32-1
gs,대리점,정읍휴게소(하),전라북도 정읍시 북면 남산리 산 19-1외 8필지
gs,대리점,제이에너지㈜,대전광역시 유성구 봉산동 615(봉산저유소 내)
gs,대리점,제일가스,충청남도 아산시 방축동 141-12
gs,대리점,제일가스충전소,전라북도 부안군 행안면 진동리 314-1
gs,대리점,제주GS충전소,제주특별자치도 제주시 도평동 136
gs,대리점,조은충전소,경남 함안군 산인면 신산리 169-3 외 3필지
gs,대리점,주식회사 대야엘피지충전소,경기도 군포시 대야미동 266-12
gs,대리점,주식회사 원경,강원도 속초시 조양동 1288-12
gs,대리점,주식회사 학교산업지점,전라남도 함평군 학교면 사거리 494-3
gs,대리점,주포LPG충전소,전라남도 함평군 함평읍 진량리 290-1
gs,대리점,중도가스 대전충전소,대전광역시 동구 대성동 206-1
gs,대리점,중도가스 사직충전소,충북 청주시 흥덕구 신봉동 57
gs,대리점,중도가스 서대전충전소,대전광역시 중구 오류동 182-10
gs,대리점,중도가스 천안충전소,충남 천안시 두정동 114-7
gs,대리점,중도가스 청주충전소,충청북도 청주시 흥덕구 복대동 498-1
gs,대리점,중도석유(주)옥산하충전소,충청북도 청원군 옥산면 오산리 556-13
gs,대리점,중도석유㈜,대전광역시 서구 도마2동 191-1
gs,대리점,중도오산충전소,경기 평택시 진위면 동천리 606
gs,대리점,중문관광단지충전소,제주 서귀포시 상예동 260
gs,대리점,지에스부평충전소,인천 부평구 청천동 400-6
gs,대리점,진도엘피지,전라남도 진도군 진도읍 동외리 1083
gs,대리점,진동가스충전소,경상남도 마산시 진북면 지산리 304-1
gs,대리점,진안상충전소,전라북도 진안군 진안읍 단양리 171-110
gs,대리점,진영충전소,충청북도 청원군 문의면 남계 155-1
gs,대리점,진주개인택시운영회,경상남도 진주시 초전동 1098
gs,대리점,차사랑LPG충전소,전라남도 화순군 화순읍 연양리 266-1
gs,대리점,창림에너지,경기도 동두천시 상봉암동 154-1
gs,대리점,창림에너지-동두천 충전소,경기도 동두천시 지행동 406-1
gs,대리점,창성가스충전소,대전광역시 서구 가장동 31-4
gs,대리점,창연엘피지충전소,충청남도 계룡시 엄사면 엄사리 447-7
gs,대리점,천관산LPG충전소,전라남도 장흥군 용산면 녹원리 152-2
gs,대리점,천안IC충전소,충청남도 천안시 신부동 172-6
gs,대리점,철강공단충전소,경상북도 포항시 남구 호동 627-1
gs,대리점,청강,부산광역시 기장군 기장읍 538-1외 4필지
gs,대리점,청라충전소,인천 서구 가좌동 602-24/81/83
gs,대리점,청량 가스,울산광역시 울주군 청량면 동천리 199-2
gs,대리점,청북가스충전소,경기도 평택시 청북면 후사리 265-35
gs,대리점,청심엔지니어링㈜서서울충전소,경기도 고양시 일산서구 덕이동1185-1
gs,대리점,충주엄정충전소,충청북도 충주시 엄정면 율능리 12-3
gs,대리점,캐피탈 충전소,경기도 화성시 향남면 동오리 산 205-2
gs,대리점,키다리식품(주)정안(상)충전소,충청남도 공주시 정안면 장원리 507-9
gs,대리점,태백가스,강원도 태백시 문곡동 16-6 10-1
gs,대리점,태양LPG충전소,경상북도 칠곡군 왜관읍 삼청리 943 외 3필지
gs,대리점,"태양주유소,LPG충전소",충남 천안시 서북구 업성동 484-8외3
gs,대리점,태일가스충전소,경상남도 진주시 장재동 산20-1
gs,대리점,태흥LPG,충청북도 진천군 문백면 태락리 114-3외 4필지
gs,대리점,통도IC충전소,울산광역시 울주군 삼남면 방기리 241-3
gs,대리점,통일로내유가스충전소,경기도 고양시 덕양구 내유동481-5
gs,대리점,특별한충전소,전라남도 화순군 화순읍 대리 53-4
gs,대리점,파워LPG충전소,전라북도 전주시 덕진구 송천동2가 69-47
gs,대리점,팔봉가스,전라북도 익산시 팔봉 368-8
gs,대리점,팔성가스,부산광역시 사상구 감전동 136-13
gs,대리점,평동LPG충전소,경기도 수원시 권선구 평동 56-1
gs,대리점,평택항이엔에스,경기도 평택시 포승면 도곡리 148-520
gs,대리점,평화LPG충전소,경기 안성시 공도읍 승두리 593-6/7/12
gs,대리점,포항IC충전소 ㈜신일,경상북도 포항시 북구 흥해읍 대련리 333-1
gs,대리점,포항이동IC충전소,경북 포항시 남구 이동 535
gs,대리점,풍림에너지,서울특별시 중랑구 면목5동 169-6
gs,대리점,하늘땅LPG충전소,경기도 포천시 내촌면 소학리 1-3
gs,대리점,하슬라충전소,강원도 강릉시 모전리 124-11
gs,대리점,한국도로공사 문경(양평방향)주,경상북도 문경시 유곡동 460번지
gs,대리점,한국도로공사 백양사(논산) 주유,전라남도 장성군 북일면 박산리 156-4
gs,대리점,한국정보통신㈜,충청남도 당진군 합덕읍 소소리 1-111
gs,대리점,한미-삼미충전소,경기도 오산시 내삼미동 587외4
gs,대리점,한영충전소,서울 도봉구 쌍문동 715-1
gs,대리점,한일에너지,경남 사천시 곤명면 신흥리 17-1
gs,대리점,함평나비중앙충전소,전라남도 함평군 해보면 해보리 212-33
gs,대리점,해남가스,전라남도 해남군 해남읍 용정리 44-1
gs,대리점,해뜨는충전소,경기 화성시 봉담읍 상리 36
gs,대리점,해안로충전소,경기 안산시 상록구 사동 1640-6
gs,대리점,행복이가득한충전소,경기도 수원시 권선구 구운동 681-1
gs,대리점,행복한충전소,전북 김제시 금구면 용지리 10-3
gs,대리점,현풍충전소,대구광역시 달성군 현풍면 성하기 716-1
gs,대리점,호동제1충전소,경상북도 경산시 진량읍 선화리 717-1
gs,대리점,화왕산충전소,경남 창녕군 도천면 논리 650-6
gs,대리점,화전LPG충전소,경기도 고양시 덕양구 화전동 732/735
gs,대리점,흥구석유 원대충전소,대구시 북구 노원동3가 636
gs,대리점,흥구석유 포항충전소,경북 포항시 해도동 72-1
gs,대리점,흥구석유㈜,대구광역시 중구 동인동1가 357
gs,대리점,흥구석유㈜ 영주영업소,경상북도 영주시 휴천3동 686
gs,대리점,흥업충전소,강원도 원주시 흥업면 흥업리 609-4
