구분,보통휘발유,자동차용경유
12년05월1주,1001.60,1026.41
12년05월2주,1001.10,1037.33
12년05월3주,959.40,996.85
12년05월4주,954.71,1000.92
12년05월5주,934.24,976.56
12년06월1주,954.18,1000.75
12년06월2주,906.61,962.43
12년06월3주,880.19,957.62
12년06월4주,802.69,893.28
12년07월1주,826.99,931.84
12년07월2주,858.77,951.40
12년07월3주,886.51,976.57
12년07월4주,912.61,984.61
12년08월1주,908.17,970.15
12년08월2주,951.43,1011.99
12년08월3주,991.32,1031.87
12년08월4주,1027.35,1072.89
12년08월5주,978.59,1028.30
12년09월1주,987.71,1078.83
12년09월2주,977.33,1084.31
12년09월3주,970.46,1063.86
12년09월4주,944.42,1017.96
12년10월1주,917.61,966.42
12년10월2주,968.16,1035.69
12년10월3주,972.97,1035.05
12년10월4주,925.28,1008.53
12년10월5주,864.57,957.65
12년11월1주,896.04,1004.40
12년11월2주,880.52,968.37
12년11월3주,895.84,971.90
12년11월4주,895.01,950.69
12년12월1주,911.30,984.93
12년12월2주,895.25,982.73
12년12월3주,889.61,968.71
12년12월4주,876.47,945.86
13년01월1주,872.07,927.47
13년01월2주,921.36,978.91
13년01월3주,916.91,981.63
13년01월4주,902.14,968.41
13년01월5주,899.96,953.20
13년02월1주,961.47,1005.28
13년02월2주,1000.34,1043.85
13년02월3주,1014.04,1047.01
13년02월4주,972.24,997.14
13년03월1주,985.58,1022.69
13년03월2주,953.41,970.16
13년03월3주,945.61,971.59
13년03월4주,918.41,938.59
13년04월1주,925.04,939.90
13년04월2주,935.99,973.48
13년04월3주,895.57,943.07
13년04월4주,849.56,898.92
13년05월1주,844.26,888.96
13년05월2주,878.86,923.90
13년05월3주,881.15,932.61
13년05월4주,896.27,939.07
13년05월5주,859.64,901.63
13년06월1주,904.24,937.01
13년06월2주,918.04,947.28
13년06월3주,928.40,962.32
13년06월4주,895.84,933.50
13년07월1주,907.89,935.53
13년07월2주,942.65,978.38
13년07월3주,961.79,989.25
13년07월4주,958.62,975.01
13년07월5주,894.78,935.74
13년08월1주,898.10,964.36
13년08월2주,898.66,966.04
