date,dom_level,intl_level,dom_chg,intl_chg,excluded
2012-12-08,984.93,871.3377992210194,,,False
2012-12-15,982.73,848.6873786520744,-0.22361596177615795,-2.6338835376263248,False
2012-12-22,968.71,851.3172204187438,-1.436912354666564,0.30939255881134997,False
2012-12-29,945.86,855.6813517091442,-2.387072293579795,0.5113233098212433,False
2013-01-05,927.47,851.0469948727912,-1.963411761170697,-0.5430703996384345,False
2013-01-12,978.91,853.6836242438263,5.397925881826815,0.30933115694260493,False
2013-01-19,981.63,850.5712704264361,0.27747475136008504,-0.3652455142870714,False
2013-01-26,968.41,862.0640737671885,-1.3558903954842272,1.3421392825250678,False
2013-02-02,953.2,889.1265515884862,-1.5830806097441474,3.0909978707965635,False
2013-02-09,1005.28,923.5077507881979,5.319664343004948,3.7939614318902137,False
2013-02-16,1043.85,936.8928742497441,3.7649691304332045,1.4389754815748113,False
2013-02-23,1047.01,921.2042046363218,0.3022681964332641,-1.6887215020773283,False
2013-03-02,997.14,894.4991785581964,-4.880258055581521,-2.9417747616295564,False
2013-03-09,1022.69,871.1943154586946,2.53005083581499,-2.639893798137205,False
2013-03-16,970.16,870.3652375301562,-5.2730683377100185,-0.09521098371241266,False
2013-03-23,971.59,865.5580977948505,0.14728984251561883,-0.5538438161923231,False
2013-03-30,938.59,862.6907788312772,-3.4555155635909607,-0.3318181348989313,False
2013-04-06,939.9,868.3391142648427,0.13947374884732966,0.6526005706052551,False
2013-04-13,973.48,859.3904405408465,3.5103793547635043,-1.0358975131562254,False
2013-04-20,943.07,813.2889598055147,-3.173676911833656,-5.513687735368489,False
2013-04-27,898.92,815.7706585576525,-4.7946468307762835,0.3046789256756277,False
2013-05-04,888.96,809.9963355187218,-1.1141802621867036,-0.7103536166113145,False
2013-05-11,923.9,813.6276948689232,3.8551600550774445,0.44731604574383965,False
2013-05-18,932.61,827.6637508471015,0.9383266350734942,1.7104089831656566,False
2013-05-25,939.07,830.3848119422856,0.6902916793151803,0.3282248299740331,False
2013-06-01,901.63,831.0389082337352,-4.068578746935536,0.07873925444794594,False
2013-06-08,937.01,829.7111570349733,3.8489718188833955,-0.1598978087577585,False
2013-06-15,947.28,849.0942251777715,1.0900765482636743,2.309252722148347,False
2013-06-22,962.32,866.9995822505078,1.5752315663116079,2.0868331074590962,False
2013-06-29,933.5,869.8301103137961,-3.0406072704040277,0.32594221314008465,False
2013-07-06,935.53,875.7239864816736,0.21722506308003986,0.675304028348922,False
2013-07-13,978.38,889.8957118810813,4.478492901425035,1.605332083664912,False
2013-07-20,989.25,887.9967308506814,1.1048937638705958,-0.21362166877052502,False
2013-07-27,975.01,883.0078389462645,-1.4499352910026353,-0.5633983317542501,False
2013-08-03,935.74,879.9711919869405,-4.111006724308641,-0.3444907635464567,False
2013-08-10,964.36,881.0725019110672,3.0127008768678465,0.1250747010439035,False
2013-08-17,966.04,882.3029209837902,0.17405723416317187,0.13955273011454494,False
2013-08-24,973.85,886.8270318140478,0.8052046453177475,0.5114514832564865,False
2013-08-31,925.36,896.4491654612226,-5.107443668876233,1.0791628401586095,False
2013-09-07,971.01,888.596168686536,4.81539159123221,-0.8798709240076974,False
2013-09-14,989.7,870.1560024821558,1.9065100003176738,-2.0970370091767165,False
2013-09-21,962.68,855.6596743255961,-2.768080523844141,-1.6799788407091398,False
2013-09-28,924.18,842.6479553644249,-4.081420379978251,-1.5323458880788898,False
2013-10-05,895.75,844.6065745834611,-3.12455016793578,0.2321665242605242,False
2013-10-12,947.62,853.7031028892378,5.629222182871807,1.0712551919678681,False
