year,n_obs,actual_chg_mean,fitted_chg_mean,bias_chg,mae_chg,rmse_chg,actual_level_mean,fitted_level_mean,bias_level,mae_level,rmse_level,mape_level_pct
2009,350,0.0596766090242044,0.05840157013432191,0.001275038889882494,0.06045764476073282,0.09763202512452311,1595.8979142857143,1595.8829832356842,0.014931050030015415,0.9483814231102587,1.496847078004624,0.06044792785146483
2010,365,0.027331044239964263,0.02593897831179903,0.0013920659281652324,0.02197758805587723,0.03571807964869417,1709.8094794520548,1709.7858783668523,0.023601085202657586,0.37546438386881564,0.611353891160339,0.021975504848005277
2011,259,0.03048844402638086,0.030311090362818517,0.00017735366356234146,0.02071485313129452,0.033769002910873425,1928.3860617760618,1928.3846021016593,0.0014596744025824324,0.3989455750411086,0.6483481007541021,0.020713312244666687
2012,366,-0.0005529178368442227,-0.00020475855950927385,-0.00034815927733494853,0.02024528162286785,0.031759495090543266,1985.710300546448,1985.7180206405737,-0.0077200941256700874,0.4004366632381287,0.6250466009379614,0.02024506810915698
2013,365,-0.006200113546071521,-0.005439898165957148,-0.0007602153801143732,0.01601904311899634,0.023045395463539547,1924.4703013698631,1924.4853707514135,-0.01506938155047315,0.3092313655786935,0.44568123359213974,0.016018994460307395
2014,365,-0.04657510766216691,-0.04356550206564448,-0.0030096055965224276,0.014689300786483355,0.02302801316900465,1827.2869863013698,1827.3406662381697,-0.053679936800034904,0.26181888270345294,0.40042800561081476,0.014690176431133845
2015,365,-0.033383539544336954,-0.030812808957423495,-0.002570730586913454,0.026591945870686175,0.0414482823586684,1510.400410958904,1510.4407308941825,-0.040319935278256246,0.3991978782475692,0.6190492395941051,0.026592941396124496
2016,366,0.014046547208260471,0.01393537364206803,0.0001111735661924407,0.021926533000191085,0.03350863096949151,1402.7362021857923,1402.734464976516,0.0017372092763521397,0.3069386089104777,0.4683210618856064,0.021925073836050947
2017,365,0.01093389715440824,0.010769583481357333,0.00016431367305090705,0.013737714666936766,0.01965963540066187,1491.3040547945204,1491.3015048674347,0.0025499270860539222,0.2042541874876867,0.2916101077447462,0.013737492377086892
2018,309,0.02927454219604975,0.02730990082179865,0.001964641374251099,0.013380400531541298,0.019761843999472225,1598.0738187702266,1598.041563888561,0.0322548816653097,0.2144220414420856,0.31732594300284933,0.01337977186132429
2019,107,0.020143191991500876,0.019871080228138605,0.00027211176336227195,0.012757571628363185,0.019077734559170265,1540.958785046729,1540.9547404357834,0.004044610945569406,0.19638745662186113,0.2930261401872383,0.012757315885870755
2020,366,-0.02547533859029266,-0.025054401537074333,-0.00042093705321832246,0.02994092640694416,0.046169970932929426,1381.2610655737706,1381.2643391581873,-0.0032735844167994604,0.4092018329280305,0.6268799621646347,0.029940840691674277
2021,315,0.07713322459477603,0.0744074019142592,0.002725822680516837,0.019754177051710304,0.030626437059216718,1579.0935555555557,1579.0480926288387,0.045462926716765564,0.31456631964713144,0.49442188224952427,0.019752553964353516
