h,impulse_response,cumulative_response
0,0.0,0.0
1,0.0015554201470062707,0.0015554201470062707
2,0.0030581081409837615,0.004613528287990032
3,0.0035474697886084088,0.008160998076598442
4,0.004243206900244905,0.012404204976843348
5,0.005254885434955953,0.017659090411799302
6,0.005905484340353288,0.023564574752152588
7,0.00834619414389028,0.03191076889604287
8,0.010101824110269483,0.042012593006312354
9,0.00965531356615789,0.051667906572470244
10,0.008593355801124147,0.06026126237359439
11,0.008292405573261188,0.06855366794685558
12,0.008067706224696302,0.07662137417155188
13,0.00815706430658744,0.08477843847813932
14,0.008546848829626636,0.09332528730776596
15,0.00853409943642921,0.10185938674419517
16,0.007651142687273184,0.10951052943146836
17,0.006632020890706166,0.11614255032217452
18,0.006076794223851875,0.1222193445460264
19,0.005695717170833886,0.1279150617168603
20,0.005544408702920781,0.13345947041978107
21,0.0056114676589781465,0.13907093807875923
22,0.0054726132323019705,0.1445435513110612
23,0.0048994963533895396,0.14944304766445074
24,0.004281270649311765,0.15372431831376251
25,0.0039005907923968636,0.15762490910615937
26,0.003638294223990968,0.16126320333015035
27,0.0035135395292505986,0.16477674285940094
28,0.0035127182896548324,0.16828946114905577
29,0.0033967685486251606,0.17168622969768094
30,0.00305636998484003,0.17474259968252095
31,0.0026973411415759847,0.17743994082409695
32,0.0024584831538464373,0.1798984239779434
33,0.002290878417310443,0.18218930239525383
34,0.0022042096955149876,0.18439351209076882
35,0.002184720978609667,0.18657823306937849
36,0.0021009371318616533,0.18867917020124014
37,0.0019005924877439977,0.19057976268898413
38,0.0016918592799269835,0.19227162196891112
39,0.001544411752998373,0.1938160337219095
40,0.0014386050301045796,0.19525463875201407
41,0.001380280341431547,0.1966349190934456
42,0.0013579735337353133,0.19799289262718092
43,0.001300195190179476,0.1992930878173604
44,0.0011819216935984027,0.2004750095109588
45,0.0010597367319783028,0.2015347462429371
46,0.0009691056243899294,0.20250385186732703
47,0.0009025902113719934,0.203406442078699
48,0.0008638082310096842,0.2042702503097087
49,0.0008443155096660588,0.20511456581937476
50,0.0008054837303101902,0.20592004954968496
51,0.0007353071468694367,0.20665535669655438
52,0.0006632869973589655,0.20731864369391334
53,0.0006076603638536873,0.20792630405776702
54,0.0005659606716097252,0.20849226472937674
55,0.0005403749343335513,0.2090326396637103
56,0.0005251514943243413,0.20955779115803463
57,0.0004994986726350592,0.21005728983066968
58,0.00045763956827260814,0.21051492939894229
59,0.0004149189366070359,0.2109298483355493
60,0.0003807925631980592,0.21131064089874738
61,0.00035470436060930236,0.21166534525935668
62,0.00033793306650575945,0.21200327832586244
63,0.0003267592267268036,0.21233003755258925
64,0.00031002008435670786,0.21264005763694596
65,0.0002849241655296967,0.21292498180247565
66,0.00025943844005875725,0.21318442024253442
67,0.0002385011103524435,0.21342292135288687
68,0.00022220438908091147,0.21364512574196778
69,0.00021127292217856553,0.21385639866414635
70,0.00020338682804210367,0.21405978549218846
71,0.0001925632342333029,0.21425234872642177
72,0.00017744518805926768,0.21442979391448103
73,0.00016216311631508313,0.21459195703079612
74,0.00014931279302806221,0.2147412698238242
75,0.0001391432541655933,0.21488041307798977
76,0.00013205405533709652,0.21501246713332686
77,0.00012663571203861098,0.21513910284536547
78,0.00011968524758961815,0.2152587880929551
79,0.00011053768806189734,0.215369325781017
80,0.00010133183383366745,0.21547065761485068
81,9.344029218988398e-05,0.21556409790704056
82,8.709863797526661e-05,0.21565119654501583
83,8.252192869834589e-05,0.21573371847371417
84,7.887050852445805e-05,0.21581258898223862
85,7.443082977107735e-05,0.2158870198120097
86,6.887360720430084e-05,0.215955893419214
87,6.330519197657264e-05,0.21601919861119057
88,5.845532823783553e-05,0.2160776539394284
89,5.4502393804005214e-05,0.2161321563332324
90,5.15596220601597e-05,0.21618371595529257
