file,raw_rows,columns,reason
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/세종/세종_세종시_20080415_20081231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/세종/세종_세종시_20090101_20091231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/세종/세종_세종시_20100101_20101231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/세종/세종_세종시_20110101_20111231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
