h,impulse_response,cumulative_response
0,0.0,0.0
1,0.003200941485193648,0.003200941485193648
2,0.005145578945790788,0.008346520430984435
3,0.005839250507472152,0.014185770938456587
4,0.006333652732419207,0.020519423670875794
5,0.007005499056260883,0.027524922727136678
6,0.007114246294903583,0.03463916902204026
7,0.0092358051789712,0.04387497420101146
8,0.010059925235570604,0.053934899436582064
9,0.010002475152169588,0.06393737458875165
10,0.008780202232829026,0.07271757682158067
11,0.00986421040713339,0.08258178722871407
12,0.008950792781606098,0.09153258001032016
13,0.008490897311747809,0.10002347732206797
14,0.009866841383368324,0.1098903187054363
15,0.009994557804019616,0.11988487650945591
16,0.009498891361353005,0.1293837678708089
17,0.00796379110312247,0.1373475589739314
18,0.007883964989557908,0.1452315239634893
19,0.0074559366550854145,0.15268746061857472
20,0.008045896572139465,0.1607333571907142
21,0.009034058316823466,0.16976741550753766
22,0.009155095224256251,0.1789225107317939
23,0.009126653657107017,0.18804916438890093
24,0.007061495717569411,0.19511066010647035
25,0.007619103922648853,0.2027297640291192
26,0.00802405231349162,0.21075381634261084
27,0.0069897885692695085,0.21774360491188036
28,0.0065826844567938025,0.22432628936867416
29,0.007144061001306629,0.2314703503699808
30,0.006878216395604043,0.23834856676558483
31,0.005628619719686754,0.24397718648527159
32,0.005824476834325073,0.24980166331959666
33,0.006156937999509456,0.25595860131910614
34,0.004974097577075947,0.2609326988961821
35,0.00469923238839167,0.26563193128457374
36,0.004983032376654247,0.270614963661228
37,0.004646036974520431,0.27526100063574843
38,0.0036162137144504828,0.2788772143501989
39,0.0036354722343074873,0.2825126865845064
40,0.0035989936501040942,0.2861116802346105
41,0.002859553671133257,0.28897123390574375
42,0.002682315020170965,0.2916535489259147
43,0.0029433267324158905,0.2945968756583306
44,0.0026773220200483365,0.2972741976783789
45,0.001968568930311591,0.29924276660869054
46,0.002011266715998019,0.30125403332468853
47,0.0020690881163402844,0.3033231214410288
48,0.001570353786880485,0.30489347522790927
49,0.0014578184951354557,0.3063512937230447
50,0.0016917956912637824,0.30804308941430847
51,0.0015084305033093459,0.3095515199176178
52,0.0010476680122031205,0.31059918792982094
53,0.001112383762043926,0.31171157169186486
54,0.0011844825730587543,0.3128960542649236
55,0.0008520782663251969,0.31374813253124884
56,0.0007992043065778772,0.3145473368378267
57,0.0010068433178996345,0.31555418015572634
58,0.0008949431056423148,0.31644912326136865
59,0.0005886347730217431,0.3170377580343904
60,0.0006545885096555662,0.31769234654404593
61,0.0007120260781276808,0.31840437262217364
62,0.0004853901419776829,0.3188897627641513
63,0.00046146447555626795,0.3193512272397076
64,0.0006298482454082186,0.31998107548511584
65,0.0005516466012010729,0.3205327220863169
66,0.0003403741960999005,0.3208730962824168
67,0.00039335904655589046,0.3212664553289727
68,0.000438778926505899,0.3217052342554786
69,0.0002810044775910624,0.32198623873306964
70,0.0002707320713827133,0.32225697080445237
71,0.0004006899617083455,0.3226576607661607
72,0.0003443261961432202,0.3230019869623039
73,0.00019637930800246565,0.3231983662703064
74,0.00023791305056257954,0.323436279320869
75,0.00027097892963696057,0.32370725825050595
76,0.00015907999323184907,0.3238663382437378
77,0.00015561492195549957,0.32402195316569327
78,0.00025422302813730047,0.3242761761938306
79,0.00021384634911548287,0.32449002254294607
80,0.00010993477557324295,0.3245999573185193
81,0.0001421037742011959,0.3247420610927205
82,0.00016582295765082213,0.32490788405037135
83,8.623171452023409e-05,0.32499411576489157
84,8.688993480133054e-05,0.3250810056996929
85,0.00016153225393204264,0.32524253795362496
86,0.0001327262658532187,0.32537526421947816
87,5.957564423036811e-05,0.3254348398637085
88,8.417183760464446e-05,0.32551901170131314
89,0.00010108348800461989,0.3256200951893178
90,4.438271049742671e-05,0.32566447789981523
