유종,구간,기준,판정대상일수,적정,상향,하향
휘발유,전체 기준,이전 적정 범위 기준,5896,2500,789,2607
휘발유,전체 기준,적용 적정 범위 기준,5896,3111,1170,1615
휘발유,유류세 정책 적용 기간 기준,이전 적정 범위 기준,1887,4,3,1880
휘발유,유류세 정책 적용 기간 기준,적용 적정 범위 기준,1887,615,384,888
경유,전체 기준,이전 적정 범위 기준,4484,1670,507,2307
경유,전체 기준,적용 적정 범위 기준,4484,1853,724,1907
경유,유류세 정책 적용 기간 기준,이전 적정 범위 기준,1887,9,0,1878
경유,유류세 정책 적용 기간 기준,적용 적정 범위 기준,1887,192,217,1478
