title,status,period,note,gasoline_effect,diesel_effect,gasoline_effect_label,diesel_effect_label,effect_label,source_url
유류세 한시 인하 연장,진행 중,2026-06-01~2026-07-31,"2026년 6월 이후에도 유류세 인하율을 휘발유 15%, 경유 25%로 유지합니다. 정부 발표 기준 인하 효과는 휘발유 122원/L, 경유 145원/L입니다.",122,145,,,,"https://www.korea.kr/news/policyNewsView.do?newsId=148964838"
석유제품 최고가격제,진행 중,2026-05-22부터 6차 기준 적용,"6차 석유제품 최고가격은 휘발유 1,934원/L, 경유 1,923원/L, 등유 1,530원/L입니다. 최고가격은 정유사 공급가격 기준이며 주유소 판매가격은 직접 적용 대상이 아닙니다.",,,"휘발유 1,934원/L","경유 1,923원/L",정유사 공급가격 상한,"https://www.korea.kr/news/policyNewsView.do?newsId=148964961"
