param,coef,std_err,t_value,p_value
const,-0.19747438862824118,0.33183296979361815,-0.5951017728921252,0.5517754436468083
dom_L1,-0.300458248237471,0.05020234855354309,-5.984944069240479,2.1646423195078404e-09
dom_L2,-0.134699850184638,0.05245437559762684,-2.5679430676653054,0.010230395672605355
dom_L3,-0.1722441138241651,0.05397865179662288,-3.190967319323477,0.0014179731846410359
dom_L4,-0.01533502859945087,0.05341495307212358,-0.28709242857041806,0.7740415493964071
dom_L5,-0.14537878820159408,0.054115326769659,-2.6864623551179228,0.007221308502540577
dom_L6,-0.17716673650384795,0.05998977381463377,-2.9532822885994996,0.0031441430065928862
dom_L7,-0.18603789961985873,0.051308518431395174,-3.6258676981408215,0.00028799278282428905
dom_L8,-0.056285204833614474,0.05238490029236958,-1.0744547478276487,0.2826189161236622
dom_L9,0.3053307741141216,0.05281019478446521,5.781663471613221,7.396555793714585e-09
dom_L10,-0.06403906224300764,0.04195338825311818,-1.526433618582593,0.12690191050799374
dom_L11,-0.07973953033139837,0.03990627181755745,-1.9981703802337052,0.04569819157664113
dom_L12,-0.15534425203559885,0.03417554346575719,-4.545480079673022,5.481018108009855e-06
dom_L13,0.22661383362388904,0.029101819673491278,7.786930032774226,6.865694625872964e-15
intl_L0,0.2217805728813865,0.02800676750048852,7.918820794921013,2.397736309457659e-15
intl_L1,0.4996341697507978,0.04625133858395035,10.802588315231498,3.34635007290301e-27
intl_L2,0.23012756266254022,0.05305627187936389,4.337424295204726,1.441621647557274e-05
intl_L3,0.08742043896838306,0.059419086897694866,1.4712518069976348,0.14122303126465818
intl_L4,0.09021012317572936,0.051927618483528476,1.7372281997554762,0.08234689923713917
intl_L5,0.03833066749881108,0.05065265795027052,0.7567355603815135,0.449208305815335
intl_L6,0.13371254431848295,0.04802815729728383,2.784044857078972,0.005368560893124279
intl_L7,0.14370394481574686,0.055018900689361404,2.6119014196067685,0.009004021325174682
intl_L8,0.14026683572823137,0.04483448767852366,3.128547753996554,0.0017567246231492873
intl_L9,-0.060015587006615134,0.04247357583075007,-1.4130099911005132,0.15765278644510783
intl_L10,-0.09269311499115052,0.048778404199307276,-1.900290026143719,0.05739506951380037
intl_L11,-0.02841195670562296,0.03754555186203735,-0.7567329629358984,0.4492098622749776
intl_L12,0.1168366448400993,0.03888836813550215,3.004411098789107,0.0026609551110429383
m_2,0.2138018038094567,0.49185101489803723,0.4346881420053158,0.663788806735532
m_3,0.4898941963295541,0.46675511377203693,1.0495743525347176,0.29391385398491454
m_4,0.46530256593896197,0.4001475193377401,1.1628275659663116,0.24489947050425653
m_5,0.18018018235489483,0.40818549615875815,0.4414174047105687,0.6589108443403471
m_6,0.2172006506133167,0.40044474311322964,0.542398556476745,0.5875439738843898
m_7,0.14775408669672416,0.39776634786625986,0.3714594949756866,0.7102953195540403
m_8,0.17558088806478142,0.42600042738201005,0.4121612955738461,0.6802212038606049
m_9,-0.03595374347488914,0.4086827765238042,-0.08797469710053947,0.929896786938953
m_10,0.15919958898711356,0.4038218461291722,0.39423223511337646,0.69340958863698
m_11,0.20622016455252337,0.44344593657308745,0.46504014930472765,0.641902705036857
m_12,0.42624664341593566,0.4768893236817251,0.8938062192820482,0.3714255810315533
