date,dom_chg,dom_level,prev_dom_level,fitted_chg,fitted_level,err_chg,err_level
2009-04-25,-0.13912561807236656,574.62,575.42,0.42798299970086506,577.8879772713084,-0.5671086177732316,-3.267977271308382
2009-05-02,-7.1292684334197,535.08,574.62,-3.5155133634291884,554.7701141099072,-3.6137550699905114,-19.6901141099072
2009-05-09,3.7290311324635894,555.41,535.08,2.6078291841504013,549.2175122763905,1.121201948313188,6.192487723609474
2009-05-16,1.3235513631708606,562.81,555.41,2.87225763335371,571.5941182833217,-1.5487062701828496,-8.784118283321732
2009-05-23,1.7577064009752341,572.79,562.81,2.617327112004884,577.7350453366005,-0.8596207110296499,-4.945045336600515
2009-05-30,1.2233046021077776,579.84,572.79,0.8362068144609799,577.5997908854312,0.3870977876467977,2.24020911456887
2009-06-06,5.742186178104536,614.11,579.84,6.710385244981057,620.0846840344935,-0.9681990668765215,-5.974684034493521
2009-06-13,6.6641996815064,656.43,614.11,3.161513829617463,633.8353392869013,3.5026858518889368,22.59466071309862
2009-06-20,2.423065813577008,672.53,656.43,-0.37642335008683514,653.9636890004583,2.799489163663843,18.566310999541656
2009-06-27,-0.01040899933277828,672.46,672.53,-1.7736716460486786,660.7066893901937,1.7632626467159003,11.753310609806363
2009-07-04,-0.9637944710432222,666.01,672.46,-0.5332421771962175,668.8837032906904,-0.4305522938470048,-2.8737032906904005
2009-07-11,-2.7367693865748777,648.03,666.01,-0.5897004837869305,662.0940932164104,-2.147068902787947,-14.06409321641047
2009-07-18,-5.314433609625713,614.49,648.03,-4.488730026555433,619.584871268165,-0.8257035830702799,-5.0948712681649795
2009-07-25,1.2854582670635217,622.44,614.49,-0.22035350524335098,613.1374404990524,1.5058117723068727,9.30255950094761
2009-08-01,2.5646701261387683,638.61,622.44,1.2930504606921636,630.5407236413303,1.2716196654466048,8.069276358669754
2009-08-08,7.4611170830527485,688.08,638.61,4.630000769390245,668.8728264775841,2.8311163136625037,19.20717352241593
2009-08-15,2.385287955342097,704.69,688.08,2.5634538979849286,705.9466366981062,-0.1781659426428317,-1.2566366981061492
2009-08-22,1.818219123960585,717.62,704.69,-0.12455131392843691,703.812845712867,1.9427704378890218,13.807154287133017
2009-08-29,-1.907660123711885,704.06,717.62,-2.587994645834754,699.2862937620723,0.6803345221228687,4.773706237927627
2009-09-05,-0.6211908047281334,699.7,704.06,-0.25654309843613776,702.2560975441327,-0.3646477062919956,-2.5560975441326264
2009-09-12,-3.9040080618812922,672.91,699.7,-1.2059496269614762,691.312645742353,-2.6980584349198162,-18.402645742353002
2009-09-19,-1.7661098909165673,661.13,672.91,-1.6654746824078082,661.795664444236,-0.10063520850875918,-0.665664444235972
2009-09-26,-2.7246049074908463,643.36,661.13,-1.5428245253830797,651.0082057514339,-1.1817803821077666,-7.64820575143392
2009-10-03,-3.918092284818364,618.64,643.36,-3.648917355780937,620.3074669757171,-0.269174929037427,-1.6674669757171614
2009-10-10,-2.9977388478723554,600.37,618.64,-1.2751661500885147,610.8013959577642,-1.7225726977838407,-10.431395957764153
2009-10-17,0.8045896472742342,605.22,600.37,0.3472467349397428,602.4583890554741,0.4573429123344914,2.7616109445259553
