p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass,oos_rmse_chg,oos_mae_chg,oos_rmse_level,oos_mae_level,oos_mape_level_pct,full_lb_pvalue,full_lb_lag,full_stable,full_intl_block_p,full_n_obs,full_lb_pass
13,12,488.88125740272335,604.7757856782057,True,9.479296337464417e-55,0.15388788234487727,18,156,True,True,2.42757562064294,1.6373130581205348,11.793663615034458,8.937011541650415,1.6290713376991057,0.0013739093736689497,18,True,9.455020139353216e-54,565,False
13,13,490.74895543504863,609.6933397177806,True,4.233334832336341e-54,0.1697738347325886,18,156,True,True,2.432075374133347,1.639249431406054,11.785137655341009,8.933711075616392,1.6311077245184529,0.0011898415169267974,18,True,4.26850165026616e-53,565,False
14,12,488.7692804643313,607.7136647470633,True,8.124013212161541e-54,0.09846815554839973,19,156,True,True,2.4350794350814486,1.6431451338560088,11.834715595115487,8.957358187263367,1.6351866372899957,0.0015948119032340488,19,True,1.6936264498105334e-50,562,False
13,10,490.07005032020413,599.8648665811875,True,1.45275950705069e-53,0.09781219737737261,18,156,True,True,2.4372887753749963,1.6390561863072284,11.840591113032213,8.949495137789695,1.6309484740093454,7.376476206244919e-05,18,True,5.944247102579169e-47,565,False
13,11,489.0980431391661,601.942715407399,True,2.6984581675617814e-54,0.16358587485090773,18,156,True,True,2.440407269505867,1.643443372626653,11.867841125603249,8.974272015976652,1.6352001492899753,3.509841873171581e-05,18,True,2.0293117277819343e-48,565,False
14,13,490.45589885905497,612.4501391490364,True,9.326619452275283e-54,0.10608479218001121,19,156,True,True,2.4411300062148404,1.646252967992407,11.827435085274622,8.956065697835978,1.638278303528478,0.0023563034782724535,19,True,9.737543300411193e-49,562,False
13,14,492.57261776917824,614.5668580591597,True,2.568051925241241e-53,0.126597262756486,18,156,True,True,2.444684307333437,1.6365926543134144,11.823738936134344,8.881182119550187,1.6296031857198126,0.006015799468514806,18,True,4.162178878764559e-56,562,False
13,8,487.7610472703126,591.4561515167968,True,1.6048315444005284e-51,0.07822762438538827,18,156,True,True,2.4463002575611834,1.647805298078102,11.856929864888963,8.980890949061125,1.6393197693172743,2.3337002626052672e-05,18,True,2.53055852837465e-35,565,False
14,11,488.822419280835,604.7169475563173,True,7.822230436662008e-54,0.08419414505582858,19,156,True,True,2.4470447359177325,1.65065814839671,11.915396903704021,9.003719104755666,1.6426935075717803,6.0429436356634745e-05,19,True,2.6353205051687037e-47,562,False
13,9,489.5496933752186,596.2946536289525,True,1.2478306333873628e-50,0.09040469930784228,18,156,True,True,2.448285680629089,1.6470415049300116,11.88891724230405,8.980021942732778,1.6388441054677858,8.950878320152158e-05,18,True,6.765805362208623e-38,565,False
14,14,490.8585769270615,615.9026732242926,True,1.7450770185564256e-53,0.056738751750217316,19,156,True,True,2.448509178921205,1.644172329602139,11.854847275883209,8.927389139083015,1.6370981374673452,0.0034911713532215895,19,True,8.564428510777977e-53,562,False
