h,impulse_response,cumulative_response
0,0.2217805728813865,0.2217805728813865
1,0.4329983673297536,0.6547789402111401
2,0.0701558217839715,0.7249347619951116
3,-0.030183669797369972,0.6947510921977417
4,0.011846645548581877,0.7065977377463235
5,-0.012129179701932571,0.6944685580443909
6,0.03764331469341531,0.7321118727378062
7,0.004278183626209131,0.7363900563640153
8,0.03474009805829077,0.7711301544223061
9,-0.043408962997095124,0.7277211914252111
10,0.033691999155065766,0.7614131905802768
11,-0.06655863846028215,0.6948545521199947
12,0.05085108340420025,0.7457056355241949
13,-0.040628949260859436,0.7050766862633354
14,0.09871651026575466,0.8037931965290901
15,-0.003923951467438222,0.7998692450616519
16,-0.0048899013631790705,0.7949793436984729
17,-0.0019075213204246756,0.7930718223780482
18,-0.016638876733924897,0.7764329456441232
19,0.011454329768046962,0.7878872754121702
20,-0.036464982742057554,0.7514222926701126
21,0.029354475871849722,0.7807767685419623
22,-0.03473368380392126,0.746043084738041
23,0.06313742270611383,0.8091805074441549
24,-0.044138356572814265,0.7650421508713406
25,0.02548606179010489,0.7905282126614456
26,-0.0355545384742259,0.7549736741872197
