year,n_obs,actual_chg_mean,pred_chg_mean,bias_chg,mae_chg,rmse_chg,actual_level_mean,pred_level_mean,bias_level,mae_level,rmse_level,mape_level_pct
2012,7,-0.3154654014205782,-1.0566441185879214,0.7411787171673432,1.6703337916596246,1.877662580187383,892.0,885.4591013118146,6.540898688185329,14.855881228827213,16.709347547997695,1.6604371747935642
2013,52,-0.052513594859028886,0.07357959089779953,-0.12609318575682843,0.9936501572247743,1.2807249630075623,902.560576923077,903.6373541295638,-1.0767772064869081,8.984658306883926,11.620744320461347,0.9944913417545974
2014,52,-0.873988408028867,-0.5831876739390612,-0.2908007340898057,0.8660947479886681,1.0960483449470495,807.0736538461539,809.6194180058744,-2.545764159720536,6.921962408326607,8.710575307721564,0.867586471229466
2015,52,-0.4103608564780776,-0.06159866509430039,-0.3487621913837771,1.551976906281843,2.0802140781973653,532.0690384615384,533.7927873963658,-1.72374893482743,7.969679598393591,10.541064224382252,1.5581386975646216
2016,53,0.4313597982911882,0.1348285827761861,0.29653121551500206,1.9324876386314322,2.297537841968505,442.93018867924525,441.559749433257,1.3704392459882744,8.591990212140349,10.148446944859538,1.9234605095098165
2017,52,0.0360785697222942,-0.0196401279875379,0.05571869770983204,1.9565532595222783,2.597395194452531,523.3405769230769,522.9109109772334,0.42966594584350687,10.102857015911818,13.374325811516442,1.9566559021950594
2018,43,0.48789048665100565,0.4267172644732953,0.06117322217771036,1.195359934098208,1.4492602059601605,621.8783720930232,621.3907285734967,0.48764351952653995,7.408201968805957,9.020458850509439,1.1965691233500824
2019,2,-0.5656214947239224,-1.8555739179741773,1.2899524232502548,1.3252919508724084,1.849425859367279,616.25,608.3351495080409,7.9148504919591005,8.130777817804187,11.346999878054191,1.3083444042225423
2020,52,-0.4665511028656456,-1.2819689666511578,0.8154178637855121,3.1826239107229286,4.743005145977589,422.6851923076923,420.3471241384078,2.3380681692844627,12.351588379338416,17.102928510267816,3.1210785382577217
2021,44,1.1720549307909032,1.0780391245732304,0.09401580621767268,1.2920238923577763,1.618696106412846,619.8277272727273,618.8424856793835,0.9852415933437894,7.996773943979544,10.069372598816225,1.2900249846996408
