week_end,actual_refinery_pre,source_date_in_csv,intl_w,is_excluded,intl_w_irf,intl_w_irf_up,intl_w_irf_down,intl_w_diff,intl_w_up,intl_w_down,intl_w_vol4,intl_w_vol8,trend,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12
2012-12-08,984.93,2012-12-07,871.3377992210194,0,236.07241953609827,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-12-15,982.73,2012-12-14,848.6873786520744,0,573.6201409252926,0.0,6.136701049812637,-22.650420568945037,0.0,22.650420568945037,,,0.0027378507871321013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-12-22,968.71,2012-12-21,851.3172204187438,0,618.7630131467683,0.7125056544198635,8.934074383319476,2.629841766669415,2.629841766669415,-0.0,17.875844927687847,,0.0054757015742642025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-12-29,945.86,2012-12-28,855.6813517091442,0,619.5954797874646,2.2196749450223194,1.387208304326111,4.364131290400451,4.364131290400451,-0.0,15.121096940317505,15.121096940317505,0.008213552361396304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2013-01-05,927.47,2013-01-07,851.0469948727912,0,643.307938027905,1.8824203186432482,1.255590922750744,-4.634356836353049,0.0,4.634356836353049,12.349781909002719,12.349781909002719,0.010951403148528405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-12,978.91,2013-01-14,853.6836242438263,0,641.8615063975476,0.9816226294224073,2.4280542597799024,2.6366293710351556,2.6366293710351556,-0.0,4.006252191311035,11.237196719928052,0.013689253935660506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-19,981.63,2013-01-21,850.5712704264361,0,646.8464755801206,1.1096500052902054,1.1270608927309507,-3.1123538173902716,0.0,3.1123538173902716,4.3597536468466345,10.052306195460135,0.01642710472279261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-26,968.41,2013-01-28,862.0640737671885,0,648.8796839689663,3.3908604241926397,1.3576520353469315,11.492803340752403,11.492803340752403,-0.0,7.303322700961294,10.777427155430246,0.019164955509924708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-02,953.2,2013-01-31,889.1265515884862,0,662.3165021750219,11.880303567207507,0.31339861946327824,27.06247782129776,27.06247782129776,-0.0,13.147720147948501,14.152366567406423,0.02190280629705681,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-09,1005.28,2013-02-07,923.5077507881979,0,683.0559409455187,20.788047153796576,0.048608383299872764,34.38119919971166,34.38119919971166,-0.0,16.706921492116347,14.19680857342466,0.024640657084188913,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-16,1043.85,2013-02-14,936.8928742497441,0,759.6719849530881,18.850591195982137,0.10906615025957611,13.385123461546186,13.385123461546186,-0.0,10.997511859378232,13.976781883867588,0.02737850787132101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-23,1047.01,2013-02-21,921.2042046363218,0,774.2063128357754,7.7141844048866135,5.754994669274414,-15.688669613422235,0.0,15.688669613422235,22.10091761861095,16.789815234389486,0.030116358658453114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-02,997.14,2013-02-28,894.4991785581964,0,772.0166044815602,1.7114427696105958,13.778053328386251,-26.705026078125456,0.0,26.705026078125456,27.768716693578355,20.582969459403166,0.03285420944558522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-09,1022.69,2013-03-07,871.1943154586946,0,771.4859976536045,1.3103710939814288,18.064945614473945,-23.304863099501745,0.0,23.304863099501745,18.233641684592254,22.988999689414634,0.03559206023271732,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-16,970.16,2013-03-14,870.3652375301562,0,791.1097145860664,0.602791519260771,11.788597188318926,-0.8290779285384815,0.0,0.8290779285384815,11.498045841174058,22.927875322429877,0.038329911019849415,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-23,971.59,2013-03-21,865.5580977948505,0,787.2651759887361,0.4956086993348975,4.340147296665277,-4.807139735305668,0.0,4.807139735305668,12.986515094680726,22.735389178347443,0.04106776180698152,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
