date,유종,국내유가_원L,적정가격_미정책_원L,적정범위_미정책_하한_원L,적정범위_미정책_상한_원L,적정가격_정책적용_원L,적정범위_정책적용_하한_원L,적정범위_정책적용_상한_원L,정책효과_원L,미정책_vs_pred_gross_diff_원L,pred_gross,band_low,band_high,기준유류세_exVAT_원L,정책감면액_exVAT_원L,정책감면액_VAT포함참고_원L,정책적용_시프트_원L,유류세정책명,유류세인하율_pct,유류세정책_적용여부,최고가격제정책명,정유사공급가격상한_원L,최고가격제_적용여부,최고가격제_수치반영여부,정책적용여부_전체,그래프_핑크기간,정책라벨,selected_model_name,selected_band_coverage,fair_retail_direct,retail_gap_원L,미정책_valid,미정책_inside,미정책_above,미정책_below,정책적용_valid,정책적용_inside,정책적용_above,정책적용_below
2008-04-15,경유,1585.35,,,,,,,,,,,,528.75,52.875,58.1625,58.1625,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-16,경유,1600.81,,,,,,,,,,,,528.75,52.875,58.1625,58.1625,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-17,경유,1594.53,,,,,,,,,,,,528.75,52.875,58.1625,58.1625,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-18,경유,1602.15,,,,,,,,,,,,528.75,52.875,58.1625,58.1625,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-19,경유,1606.71,,,,,,,,,,,,528.75,52.875,58.1625,58.1625,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-20,경유,1608.21,,,,,,,,,,,,528.75,52.875,58.1625,58.1625,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-21,경유,1610.82,,,,,,,,,,,,528.75,52.875,58.1625,58.1625,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-22,경유,1614.47,,,,,,,,,,,,528.75,52.875,58.1625,58.1625,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-23,경유,1620.02,,,,,,,,,,,,528.75,52.875,58.1625,58.1625,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-24,경유,1635.52,,,,,,,,,,,,528.75,52.875,58.1625,58.1625,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
